"","variable","year","mean","sd","lower","upper"
"1","b_t",1951,366681.588904168,495232.618697426,59280.5968372534,1107391.79216642
"2","b_t",1952,340966.150863858,484979.555184458,44291.2670507702,1066323.40579736
"3","b_t",1953,253556.245091828,387500.722743953,36473.7318424608,794596.526978362
"4","b_t",1954,172084.785835651,258520.105890711,21731.7003712037,536835.316019251
"5","b_t",1955,132482.320684908,205095.59344517,14148.015986574,420648.962519484
"6","b_t",1956,114376.91353753,170451.330555541,14195.8828771893,351831.995330234
"7","b_t",1957,95852.5190218492,155268.328289556,11886.9528881192,305748.113976581
"8","b_t",1958,79801.8395998548,129754.286664739,10634.3236317018,252045.594910193
"9","b_t",1959,64772.7038221502,96730.9760434516,8835.61527429349,205280.061344674
"10","b_t",1960,70172.5005712272,124398.374634167,8386.43533933853,221164.874974571
"11","b_t",1961,60160.6488845279,106070.501685112,7862.55832549026,185652.140745094
"12","b_t",1962,71770.853553487,122294.227650408,8630.82286356135,237071.445553028
"13","b_t",1963,91135.8658288352,139286.607817276,11014.9668077669,276232.081542131
"14","b_t",1964,197955.380389255,282931.42089285,25224.0087873486,641118.094372679
"15","b_t",1965,263796.359421717,384815.690365505,39349.3204237031,849783.608681765
"16","b_t",1966,487625.730132662,741294.460940318,70857.6604417384,1504880.18509914
"17","b_t",1967,701968.330229985,928497.607340756,90027.0859440778,2238457.1047999
"18","b_t",1968,657852.512461116,967112.374879332,82001.559514884,2063313.23328803
"19","b_t",1969,712194.065982424,1146174.98381569,97364.6408854968,2209696.48161442
"20","b_t",1970,661584.694779089,1023269.80129336,82652.1193175777,2069516.05957975
"21","b_t",1971,645350.836043071,963246.016267404,96156.7722777706,2050653.17221865
"22","b_t",1972,635413.842649651,845323.288712371,102553.815729605,2036262.81359401
"23","b_t",1973,712195.512102183,1014373.65793513,87201.8097012333,2256115.27579412
"24","b_t",1974,654174.850611402,967765.094863041,77018.5315757814,2034901.34260802
"25","b_t",1975,466323.103153186,964093.212813331,47276.8762955015,1473558.01150188
"26","b_t",1976,305299.469753279,475454.959390256,38558.2614102316,1000254.72615245
"27","b_t",1977,129348.509155825,182891.620544448,19180.0113898081,432351.528036749
"28","b_t",1978,109543.297789353,158187.906882551,14703.9971076703,342150.078566083
"29","b_t",1979,133340.531745384,184481.056658074,21053.1127984583,416431.961533385
"30","b_t",1980,73105.5221333315,102406.037716537,9751.75375869061,239688.404726375
"31","b_t",1981,47155.35791742,66380.5981095391,6403.86459384563,150286.196790493
"32","b_t",1982,51790.8335870149,75546.3756605566,7378.76313049532,155016.476107873
"33","b_t",1983,56152.5452655622,81475.1738443153,6738.16733049962,184165.735106125
"34","b_t",1984,78426.3340392166,120517.967684915,10844.2988089233,245143.285381253
"35","b_t",1985,71600.6613452778,111405.019260966,11150.2949730988,222648.832025271
"36","b_t",1986,57281.424276179,75148.8023364238,8641.7870639905,179396.530737745
"37","b_t",1987,39242.9524235935,56032.3647250916,5673.54316813403,126266.403837612
"38","b_t",1988,32984.885905073,60744.499611529,4697.09404556111,107509.582828175
"39","b_t",1989,39261.9495413111,75469.241742368,5707.13955532384,119592.436436749
"40","b_t",1990,50863.4634584495,87690.4403231805,6676.60010399534,151549.507812392
"41","b_t",1991,41656.0244400589,60121.4037749849,5221.95764525078,135824.776713419
"42","b_t",1992,50001.1129674505,74913.6648750484,7216.20907703727,166207.891657924
"43","b_t",1993,71481.6507178299,103650.881706783,9720.22984972524,230924.074637292
"44","b_t",1994,54637.0700836555,89193.1876166497,8543.52353704718,168585.169788104
"45","b_t",1995,53788.0742491717,90152.1067219595,8045.04026271292,166602.113688735
"46","b_t",1996,43162.6934920858,68088.9045825207,6533.58437843284,135976.367208182
"47","b_t",1997,53809.032340177,88816.8836880681,8265.12589608247,161912.046880256
"48","b_t",1998,43314.9922621387,75870.9340355737,5258.26980081036,134739.505492422
"49","b_t",1999,31180.6211233281,46750.1463384796,4087.81875372997,97346.8699224142
"50","b_t",2000,22516.1674438494,37545.9070328776,2956.07520952415,70378.3918262219
"51","b_t",2001,10052.1675781313,14202.6905096867,1315.37729844764,33476.6622636581
"52","b_t",2002,4118.56149146727,5839.06341955883,516.962593625478,13157.4937021344
"53","b_t",2003,1372.79944552643,1939.5601540467,168.933293972754,4394.46006827818
"54","b_t",2004,920.470790989249,1360.4535203377,114.538711312246,2963.89372777175
"55","b_t",2005,505.138232594351,757.143070497064,68.6577801832626,1535.4741978974
"56","b_t",2006,366.532799339892,535.33453319607,50.1918508317983,1092.52669509743
"57","b_t",2007,327.257114746371,484.163620413423,50.975126090425,1010.82944308596
"58","b_t",2008,399.716656032985,593.35559409016,48.5000191015824,1222.52882176956
"59","b_t",2009,412.06600320709,594.931844272415,57.5826429160029,1263.905351075
"60","b_t",2010,317.652345593181,495.158135330669,42.8223930359473,997.24498635827
"61","b_t",2011,315.334553892448,454.457923934174,47.2350303376682,983.222582949327
"62","b_t",2012,432.057130726668,654.641475691078,53.5610641526609,1409.55043317054
"63","b_t",2013,286.693941481363,505.052530087225,35.5256901976759,868.729141508846
"64","b_t",2014,666.22085983861,1090.14555870233,99.8571339363827,2071.36239773242
"65","b_t",2015,2007.14925815064,3598.88917596628,294.12897015249,6072.07060954096
"66","b_t",2016,9665.31680727805,18046.1672105596,1184.25320490376,30692.9057298573
"67","b_t",2017,40237.521534622,72810.0485931308,4357.23000615624,133643.337724871
"68","b_t",2018,168931.899949036,248716.47515505,24699.5181052874,536390.852178359
"69","bmsy",1951,248407.697995574,330632.56776766,40851.6822639758,753083.051471015
"70","ck",1951,0.00592948638720844,0.00514188158081042,0.000863118648457811,0.015911218462815
"71","ck",1952,0.00456114337477572,0.00395529352370032,0.000663937421890624,0.01223939881755
"72","ck",1953,0.00410502903729815,0.00355976417133029,0.000597543679701561,0.011015458935795
"73","ck",1954,0.00273668602486543,0.00237317611422019,0.000398362453134374,0.00734363929053
"74","ck",1955,0.00273668602486543,0.00237317611422019,0.000398362453134374,0.00734363929053
"75","ck",1956,0.00228057168738786,0.00197764676185016,0.000331968710945312,0.006119699408775
"76","ck",1957,0.00182445734991029,0.00158211740948013,0.00026557496875625,0.00489575952702
"77","ck",1958,0.00136834301243272,0.0011865880571101,0.000199181226567187,0.003671819645265
"78","ck",1959,0.000912228674955145,0.000791058704740064,0.000132787484378125,0.00244787976351
"79","ck",1960,0.00136834301243272,0.0011865880571101,0.000199181226567187,0.003671819645265
"80","ck",1961,0.00136834301243272,0.0011865880571101,0.000199181226567187,0.003671819645265
"81","ck",1962,0.000912228674955145,0.000791058704740064,0.000132787484378125,0.00244787976351
"82","ck",1963,0.000912228674955145,0.000791058704740064,0.000132787484378125,0.00244787976351
"83","ck",1964,0.00456114337477572,0.00395529352370032,0.000663937421890624,0.01223939881755
"84","ck",1965,0.00410502903729815,0.00355976417133029,0.000597543679701561,0.011015458935795
"85","ck",1966,0.0132273157868496,0.0114703512187309,0.00192541852348281,0.035494256570895
"86","ck",1967,0.0287352032610871,0.024918349199312,0.00418280575791093,0.077108212550565
"87","ck",1968,0.0205251451864908,0.0177988208566515,0.00298771839850781,0.055077294678975
"88","ck",1969,0.0205251451864908,0.0177988208566515,0.00298771839850781,0.055077294678975
"89","ck",1970,0.0173323448241478,0.0150301153900612,0.00252296220318437,0.04650971550669
"90","ck",1971,0.015964001811715,0.0138435273329511,0.00232378097661718,0.042837895861425
"91","ck",1972,0.0145956587992823,0.012656939275841,0.00212459975005,0.03916607621616
"92","ck",1973,0.0168762304866702,0.0146345860376912,0.00245656846099531,0.045285775624935
"93","ck",1974,0.0177884591616253,0.0154256447424313,0.00258935594537343,0.047733655388445
"94","ck",1975,0.0112569018489465,0.00976166441649239,0.00163859755722606,0.0302068362817134
"95","ck",1976,0.00879844556994237,0.00762976120721792,0.00128073528682701,0.023609800319054
"96","ck",1977,0.00146412702330301,0.0012696492211078,0.00021312391242689,0.00392884702043355
"97","ck",1978,0.00179252934628686,0.00155443035481423,0.000260927406803015,0.00481008373529715
"98","ck",1979,0.00587931381008591,0.00509837335204972,0.000855815336817014,0.015776585075822
"99","ck",1980,0.00143219901967958,0.0012419621664419,0.000208476350473656,0.0038431712287107
"100","ck",1981,0.00072522179658934,0.000628891670268351,0.000105566050080609,0.00194606441199045
"101","ck",1982,0.00141851558955525,0.0012300962858708,0.000206484538207984,0.00380645303225805
"102","ck",1983,0.00148693274017689,0.00128942568872631,0.000216443599536343,0.0039900440145213
"103","ck",1984,0.00384960500831071,0.00333826773400307,0.000560363184075687,0.0103300526020122
"104","ck",1985,0.00275493059836454,0.00238899728831499,0.000401018202821937,0.0073925968858002
"105","ck",1986,0.00259529058024739,0.00225056201498548,0.000377780393055765,0.00696421792718595
"106","ck",1987,0.00138658758593182,0.0012024092312049,0.00020183697625475,0.0037207772405352
"107","ck",1988,0.0011083578400705,0.000961136326259178,0.000161336793519422,0.00297417391266465
"108","ck",1989,0.00145956587992823,0.0012656939275841,0.000212459975005,0.003916607621616
"109","ck",1990,0.00331139009008718,0.00287154309820643,0.000482018568292593,0.00888580354154131
"110","ck",1991,0.00147781045342733,0.0012815151016789,0.000215115724692562,0.0039655652168862
"111","ck",1992,0.0020297088017752,0.00176010561804664,0.000295452152741328,0.00544653247380975
"112","ck",1993,0.00624420528006797,0.00541479683394574,0.000908930330568264,0.016755736981226
"113","ck",1994,0.00180621277641119,0.00156629623538533,0.000262919219068687,0.0048468019317498
"114","ck",1995,0.0028370311791105,0.0024601925717416,0.000412969076415968,0.0076129060645161
"115","ck",1996,0.0015781556076724,0.00136853155920031,0.000229722347974156,0.0042348319908723
"116","ck",1997,0.00300123234060243,0.00260258313859481,0.000436870823604031,0.0080535244219479
"117","ck",1998,0.00225776597051398,0.00195787029423166,0.000328649023835859,0.00605850241468725
"118","ck",1999,0.00152798303054987,0.00132502333043961,0.000222419036333359,0.00410019860387925
"119","ck",2000,0.00153254417392464,0.00132897862396331,0.00022308297375525,0.0041124380026968
"120","ck",2001,0.000492603484475778,0.000427171700559635,7.17052415641874e-05,0.0013218550722954
"121","ck",2002,0.000214373738614459,0.000185898795613915,3.12050588288593e-05,0.00057525174442485
"122","ck",2003,3.19280036234301e-05,2.76870546659023e-05,4.64756195323437e-06,8.567579172285e-05
"123","ck",2004,4.56114337477572e-05,3.95529352370032e-05,6.63937421890624e-06,0.0001223939881755
"124","ck",2005,1.82445734991029e-05,1.58211740948013e-05,2.6557496875625e-06,4.89575952702e-05
"125","ck",2006,1.36834301243272e-05,1.1865880571101e-05,1.99181226567187e-06,3.671819645265e-05
"126","ck",2007,1.36834301243272e-05,1.1865880571101e-05,1.99181226567187e-06,3.671819645265e-05
"127","ck",2008,2.28057168738786e-05,1.97764676185016e-05,3.31968710945312e-06,6.119699408775e-05
"128","ck",2009,2.73668602486543e-05,2.37317611422019e-05,3.98362453134374e-06,7.34363929053e-05
"129","ck",2010,1.36834301243272e-05,1.1865880571101e-05,1.99181226567187e-06,3.671819645265e-05
"130","ck",2011,1.36834301243272e-05,1.1865880571101e-05,1.99181226567187e-06,3.671819645265e-05
"131","ck",2012,4.10502903729815e-05,3.55976417133029e-05,5.97543679701561e-06,0.00011015458935795
"132","ck",2013,4.56114337477572e-06,3.95529352370032e-06,6.63937421890624e-07,1.223939881755e-05
"133","ck",2014,2.73668602486543e-05,2.37317611422019e-05,3.98362453134374e-06,7.34363929053e-05
"134","ck",2015,6.84171506216359e-05,5.93294028555048e-05,9.95906132835936e-06,0.00018359098226325
"135","ck",2016,0.000104906297619842,9.09717510451074e-05,1.52705607034843e-05,0.00028150617280365
"136","ck",2017,0.000104906297619842,9.09717510451074e-05,1.52705607034843e-05,0.00028150617280365
"137","ck",2018,0.000123150871118945,0.000106792925139909,1.79263103910468e-05,0.00033046376807385
"138","crashed",1951,0,0,0,0
"139","delta",1951,100,0,100,100
"140","dep_t",1951,0.734365282318715,0.0682789566444648,0.625414267223113,0.848080753584916
"141","dep_t",1952,0.694274359077123,0.319611681967828,0.316976327727779,1.25251145805022
"142","dep_t",1953,0.529063041695651,0.276357131600511,0.211543683109333,1.01458888854594
