"","variable","year","mean","sd","lower","upper"
"1","b_t",1979,37528.4702360779,35823.3499742912,16182.7649164916,115160.181435754
"2","b_t",1980,49902.5052920281,60075.2074928627,16753.1003307788,180426.495290593
"3","b_t",1981,27026.574857211,34451.4172669964,8223.86150854235,91029.2003251319
"4","b_t",1982,72380.7834340277,81485.0803932756,24018.596918656,252560.910679194
"5","b_t",1983,51548.7514486924,54342.1921088046,16288.4842260673,181521.34957678
"6","b_t",1984,62596.406834462,73339.3766259113,18651.9702104449,233052.28314735
"7","b_t",1985,50524.1964180798,66488.2126929156,11259.5661098766,181715.978205465
"8","b_t",1986,38277.5363049916,43425.2903101242,12759.6641129889,129329.025980107
"9","b_t",1987,30449.8871664515,44029.9465552502,8015.15590006104,113135.761420759
"10","b_t",1988,16975.6800561984,22868.0621254406,3462.33876848686,67740.4801129718
"11","b_t",1989,6160.33491507118,7307.4415628556,2032.92044719436,20149.5509492738
"12","b_t",1990,3756.19685564703,5485.63149006658,876.063945799506,12177.6761292954
"13","b_t",1991,4330.25890668854,5341.25349125547,905.581565324498,15190.6041828024
"14","b_t",1992,5908.75448572464,6420.13494574655,1676.72553541967,18155.2912097688
"15","b_t",1993,5106.53323140958,5423.19958440079,1669.11773174549,15189.7386915036
"16","b_t",1994,4077.61555005057,5167.76092528761,1236.71768493089,14360.8760744967
"17","b_t",1995,2967.15881874473,3177.69371196855,868.437119619773,10139.7478722017
"18","b_t",1996,3252.72621176276,3868.84867120815,913.008751810721,10612.8664883201
"19","b_t",1997,3760.62680090522,3861.3199970791,1212.24620750243,11590.4644275696
"20","b_t",1998,4706.93009754223,5624.26731104307,1554.30098495185,16397.7983027171
"21","b_t",1999,4253.92395298622,4442.74523301269,1409.69379937638,13021.6279233711
"22","b_t",2000,6014.47142956055,7047.37422285621,1668.57248062418,21446.8971086312
"23","b_t",2001,4261.66727828494,5281.68890465038,1341.20653051297,15036.4397402754
"24","b_t",2002,5484.28353245576,6707.71291297304,1840.13759657789,20074.1278535354
"25","b_t",2003,4921.77123611658,5984.2698086155,1639.94676506697,16092.0890677469
"26","b_t",2004,3642.7240745382,3473.79616020726,1112.41935957974,10156.4332869222
