"","variable","year","mean","sd","lower","upper"
"1","b_t",1951,87743.6021620738,118457.777941759,18514.7991951297,247434.472257766
"2","b_t",1952,69182.0225109324,93799.4316485385,12642.3840021703,198728.503535902
"3","b_t",1953,40785.3643927537,54679.1411024015,7104.70754439641,115757.709186592
"4","b_t",1954,24119.082907663,33169.6808690965,4144.61574211414,70716.5772982072
"5","b_t",1955,18622.5250611781,27478.997069708,3269.23545513054,53470.1703941298
"6","b_t",1956,19808.5033458437,33475.5625710649,3426.08002805657,56705.8696299848
"7","b_t",1957,24197.0203536572,39932.733092063,4120.89089994166,69149.0205358648
"8","b_t",1958,42357.5603115234,66399.3486573724,7344.72037493826,119258.978428118
"9","b_t",1959,51605.3060476042,77030.6141633987,8772.30215178462,148498.368474251
"10","b_t",1960,53916.4691992792,77697.2578112212,9180.5107264474,158507.632419618
"11","b_t",1961,53021.4045317578,78265.1828977843,9303.09252137772,149342.742611342
"12","b_t",1962,89242.6935617521,138335.487521437,15007.1560905941,258887.504386758
"13","b_t",1963,107299.926281582,175128.503810924,18243.7039554229,299192.046743089
"14","b_t",1964,89334.9987349576,141375.115489375,14720.5145796499,261472.523957601
"15","b_t",1965,75327.5337400872,116196.089004859,13042.1464905734,223087.771446506
"16","b_t",1966,69331.8639858277,92477.0659583158,12221.3778169099,194197.757777916
"17","b_t",1967,75226.6194766815,108428.750171951,12697.4466175882,214671.615161661
"18","b_t",1968,59400.843461818,95242.5879730659,10626.898720585,172970.060565794
"19","b_t",1969,46569.3190868615,77024.0507897774,8241.63497421115,132378.977488774
"20","b_t",1970,52579.06660747,86283.9485449879,8903.1344006305,158160.05959671
"21","b_t",1971,54277.9315433975,76047.6443791157,9166.8280925604,162785.267943117
"22","b_t",1972,57121.6400999775,80309.8221177164,9742.21020643146,167559.069921904
"23","b_t",1973,78702.3189836427,112264.547916996,13477.3500241291,227973.059753859
"24","b_t",1974,84145.5532640354,132498.801333515,13814.3360906785,240253.394373913
"25","b_t",1975,77883.5034169925,116616.177394384,13038.0267991048,221206.287020179
"26","b_t",1976,75081.3039578996,104806.078185666,13158.5835904544,220440.540943598
"27","b_t",1977,60988.7269162003,88588.6508944343,10535.0070329628,181019.870510482
"28","b_t",1978,46274.9131849599,64236.038682049,8025.02826644303,135705.289845111
"29","b_t",1979,47158.4341455988,66887.2361671484,8153.02895120929,138674.764355501
"30","b_t",1980,39150.2001303886,57158.4035040947,6797.85576927451,115629.995802615
"31","b_t",1981,34337.3388863231,47697.8202554888,6066.79579957843,95172.0570546163
"32","b_t",1982,49635.7790629802,80834.8958796207,8874.47213893093,145587.672048849
"33","b_t",1983,66128.7644232537,101542.17394423,11326.012343131,193165.278387587
"34","b_t",1984,73146.229858048,135227.245464469,12448.2924628641,203027.636714268
"35","b_t",1985,67690.3384675375,102476.20402736,12055.0839457223,190923.858882438
"36","b_t",1986,59848.0475651368,88713.6745750104,10294.8352029668,174045.138702403
"37","b_t",1987,49850.6027064103,75372.0301079404,8513.16704704884,146040.807678906
"38","b_t",1988,44767.1240425746,73566.8898574152,7895.91460043957,123750.426883799
"39","b_t",1989,45191.0550182111,65854.8210476912,7974.62290319927,131039.4251715
"40","b_t",1990,43608.3704345353,60185.3969681855,7792.17331376369,131508.127327658
"41","b_t",1991,39800.6532535273,59600.6817980155,6645.57584156865,111938.693711627
"42","b_t",1992,33139.7065121115,45704.1497394288,5809.74861741771,96068.8510777466
"43","b_t",1993,37977.614494546,55320.1200264562,6803.34557209305,109738.430195222
"44","b_t",1994,48484.4226300406,73900.3570653736,8519.47690133606,138917.458896343
"45","b_t",1995,53794.5146485085,82474.9663833959,9571.04540020647,156429.516267659
"46","b_t",1996,55222.0558257984,82539.7849135302,10047.1180296651,157337.98071186
"47","b_t",1997,69326.9986115679,106546.239191573,12316.2828069789,198191.801155887
"48","b_t",1998,89998.2443721117,142718.172650722,16025.9282781876,259866.275428856
"49","b_t",1999,93317.6679329979,130531.334278113,16674.5948008848,257213.888489686
"50","b_t",2000,90141.6953716159,134167.955654747,15635.8882732695,259771.163097373
"51","b_t",2001,91449.2367988287,125735.737102484,16116.1339265082,265022.117483417
"52","b_t",2002,104887.217735971,137041.067617127,18818.2040292295,300920.806687595
"53","b_t",2003,145245.909018721,201113.288033513,27081.0972090537,425315.304796538
"54","b_t",2004,152681.511380604,201647.151288199,28024.0250562165,441099.456085341
"55","b_t",2005,193834.05309665,253877.452506521,36821.36494597,546092.24832171
"56","b_t",2006,221035.004732163,318534.66627472,39854.5711048371,624716.333206097
"57","b_t",2007,174545.921271151,279729.521717351,32051.4044169341,487984.391431674
"58","b_t",2008,186350.288821344,316367.400899092,33467.3857407379,529186.566812805
"59","b_t",2009,195815.300809209,250165.905126946,35506.682940819,568846.748122575
"60","b_t",2010,180836.134405775,313651.057150858,32043.7541637407,505156.072262308
"61","b_t",2011,156984.909742764,239112.283116207,27494.8284046234,462795.638926202
"62","b_t",2012,146212.425716676,194726.394036072,25580.509060036,420451.351411876
"63","b_t",2013,134635.766327554,199758.142585183,22707.8997145494,400022.162853204
"64","b_t",2014,106429.938667201,153758.796823279,18606.6416595468,307578.690804315
"65","b_t",2015,114514.637448449,162012.043435612,19719.6786414165,332875.831792346
