"","variable","year","mean","sd","lower","upper"
"1","b_t",1951,376915.857859076,628876.486700447,44823.526130664,1272377.84308135
"2","b_t",1952,270023.533370339,460823.50783785,26186.620571427,923523.126048537
"3","b_t",1953,194533.058203394,329357.563409523,17962.7755052176,694351.6779237
"4","b_t",1954,163447.878861225,323766.843739768,15320.1981388872,570380.073726553
"5","b_t",1955,107831.780025916,225870.816840622,9742.44615208997,363406.126391961
"6","b_t",1956,54362.56106538,98716.868446157,5085.63528344738,192230.733028508
"7","b_t",1957,59789.9435377377,118188.160380108,5378.49774539873,203796.880317561
"8","b_t",1958,47725.9229477414,91752.2683084243,4551.94070231549,156763.186546172
"9","b_t",1959,61082.4437830857,111831.958144931,5815.47276696929,210400.19420799
"10","b_t",1960,53295.5905530613,92129.7106950623,4970.80820984149,195391.482697958
"11","b_t",1961,85372.0310736287,149854.547153793,8149.24701608844,291208.055263361
"12","b_t",1962,339300.839083161,649995.072949071,32258.772441655,1152252.51578578
"13","b_t",1963,559738.50860874,1045110.4960575,52794.8713273722,1942488.99591206
"14","b_t",1964,712598.776520429,1256837.5323837,71164.0227533847,2491262.31525287
"15","b_t",1965,672926.818661059,1214092.57834223,62444.7970994253,2224816.97308545
"16","b_t",1966,572603.638478686,950095.351345435,59875.5479284689,2061742.74479118
"17","b_t",1967,603010.998321528,1158909.34642244,58742.5397700488,2038976.50738831
"18","b_t",1968,627730.419574673,1248454.07497384,63550.8523319364,2145516.07053862
"19","b_t",1969,654767.645663693,1193999.42646673,63724.1767382648,2198324.73045065
"20","b_t",1970,614997.123974438,1019985.40578679,60195.801781775,2129549.00283592
"21","b_t",1971,642278.858329214,1101022.4278192,68750.6000567621,2297719.0667586
"22","b_t",1972,735885.681199048,1469184.42166165,75393.0378854075,2581784.99824443
"23","b_t",1973,832166.571561727,1688745.6754772,81990.5291950398,2777976.83745427
"24","b_t",1974,767797.098376099,1330601.52341486,77579.9796227592,2549775.14539188
"25","b_t",1975,775461.263325692,1426624.44474392,75479.1699336979,2543251.57500444
"26","b_t",1976,726366.707582958,1436558.87687377,72175.0152050981,2549334.0742958
"27","b_t",1977,702284.083796229,1332038.80308499,65923.8885551221,2405088.13837259
"28","b_t",1978,637141.12244095,1111402.13100854,62741.6835643228,2233211.10628673
"29","b_t",1979,641428.643342369,1091479.13911686,63885.7063683208,2221544.45671544
"30","b_t",1980,659094.764185035,1254780.62996726,64619.9081008938,2199418.11096853
"31","b_t",1981,793259.424178406,1766416.37714279,74541.8034231263,2746174.94129963
"32","b_t",1982,477526.816155659,812483.362706176,45510.5406659217,1647384.40054207
"33","b_t",1983,444581.816322846,805550.19662778,42659.9463308602,1522053.39546838
"34","b_t",1984,437135.085042119,895570.87687534,40684.7441083322,1425466.44263314
"35","b_t",1985,422993.395324636,771362.732560937,44428.6778837649,1437954.90238566
"36","b_t",1986,556182.939703547,994956.678113293,51910.6289806632,1913326.95782832
"37","b_t",1987,588970.073295233,1008953.74990223,58640.1082672385,2076202.47456726
"38","b_t",1988,556022.062621373,1031591.42398559,53686.6875373463,1922895.9437784
"39","b_t",1989,571773.740795388,1127537.14682065,53863.9769038343,1979652.98682731
"40","b_t",1990,541197.951820621,921531.057370691,54277.5195707484,1860791.38636081
"41","b_t",1991,613311.192779805,1195592.62410723,57854.5352408393,2180799.85832033
"42","b_t",1992,531173.319532043,1029095.85936204,50347.8864232257,1842895.2791285
"43","b_t",1993,478374.269103533,827909.75119158,44791.0220244529,1553871.01807716
"44","b_t",1994,505129.793211899,914440.907467595,49193.8901877629,1645278.60264752
"45","b_t",1995,553566.019957048,1064340.24669038,52853.3856918501,1870753.41834386
"46","b_t",1996,479835.383446513,907991.261278231,42363.5024673605,1638467.55393174
"47","b_t",1997,498570.207229505,973807.326165306,47481.5193590563,1695310.72534836
"48","b_t",1998,472011.558299933,1010084.02652364,44272.6164333393,1532709.61116125
"49","b_t",1999,456375.68136075,870235.945263057,42234.6328390835,1564980.12770975
"50","b_t",2000,461632.0668912,961903.44766289,44462.2169444831,1567661.6018408
"51","b_t",2001,380636.162961813,771579.161683547,34884.8210576192,1309326.78797399
"52","b_t",2002,308595.670004839,620301.533507793,27980.0997922405,1091487.72846482
"53","b_t",2003,231821.412174708,420950.355771784,21845.2425780193,814655.154133536
"54","b_t",2004,186754.060609293,358023.133886618,17414.7494753822,626827.531444778
"55","b_t",2005,114733.717223064,216255.131756121,10491.793754769,396801.347468704
"56","b_t",2006,93175.6146886607,159827.931827959,9305.960189049,321666.402712403
"57","b_t",2007,86977.3923850143,154444.998142559,8888.13604808298,302340.534423221
"58","b_t",2008,91043.7542162434,157283.859476109,9106.15747806129,307032.720496222
"59","b_t",2009,92635.8576292252,162805.05896149,8716.92032078581,323396.530245261
"60","b_t",2010,85976.4366006737,154541.129370767,8378.40095436405,300431.692646781
"61","b_t",2011,93200.4884134014,163425.74551204,9671.18074348734,329839.169203015
"62","b_t",2012,95187.033964565,201930.773511956,9333.72150517576,332813.449613163
"63","b_t",2013,90835.8010831381,163747.990495107,9005.53161957672,314334.006532987
"64","b_t",2014,94279.8042974029,189122.931469559,9586.59133395367,311028.340353329
"65","b_t",2015,87879.2360162129,155406.369416903,8814.12110058353,300131.225306405
"66","b_t",2016,128518.410105974,212757.911802012,12320.1530634421,474144.321239669
"67","b_t",2017,180403.779403632,314695.463199338,15945.2485109095,628697.322211459
"68","b_t",2018,227023.795754719,374473.709648779,25440.8916411402,756503.620549302
"69","bmsy",1951,284345.876773789,474485.310310674,34407.17295826,940889.025706076
"70","ck",1951,0.00050589673861646,0.000462245915113343,5.31412794238873e-05,0.00145318539090638
"71","ck",1952,0.00303538043169876,0.00277347549068006,0.000318847676543324,0.0087191123454383
"72","ck",1953,0.0025294836930823,0.00231122957556671,0.000265706397119437,0.00726592695453192
"73","ck",1954,0.00354127717031522,0.0032357214057934,0.000371988955967211,0.0101722977363447
"74","ck",1955,0.00303538043169876,0.00277347549068006,0.000318847676543324,0.0087191123454383
"75","ck",1956,0.00050589673861646,0.000462245915113343,5.31412794238873e-05,0.00145318539090638
"76","ck",1957,0.00151769021584938,0.00138673774534003,0.000159423838271662,0.00435955617271915
"77","ck",1958,0.00050589673861646,0.000462245915113343,5.31412794238873e-05,0.00145318539090638
"78","ck",1959,0.00151769021584938,0.00138673774534003,0.000159423838271662,0.00435955617271915
