"","variable","year","mean","sd","lower","upper"
"1","b_t",2003,218.059113247365,180.978574345384,50.8999703623148,578.15138653165
"2","b_t",2004,132.831633115191,127.588082120722,26.9630840652991,368.112504751025
"3","b_t",2005,138.92584049988,137.67586097717,28.2313932905332,371.59932613676
"4","b_t",2006,265.648474476354,273.155430904966,51.9090542394949,721.676973417318
"5","b_t",2007,348.251565213535,359.133824614391,64.5083465658944,955.241694935652
"6","b_t",2008,335.041890648484,348.86815871191,62.0202328351855,947.516115391787
"7","b_t",2009,316.73246142399,309.819557280795,60.0311338597523,887.443384125428
"8","b_t",2010,271.79202828366,268.197166660497,50.1917270634061,754.813781430517
"9","b_t",2011,155.680017260177,159.288877348454,28.8195185453679,429.634152985584
"10","b_t",2012,109.865244357301,114.324538480985,20.1707530318206,290.022237129501
"11","b_t",2013,125.741897589172,123.541520760781,25.0885257616305,333.247787324473
"12","b_t",2014,143.135834455513,141.119726620309,27.8599665836877,390.958346809985
"13","b_t",2015,181.115121826327,188.970822320213,33.85496427409,489.729685102632
"14","b_t",2016,168.917239025009,175.325278346791,29.2914440844593,480.416947649452
"15","b_t",2017,147.679603101012,150.624744224056,28.2538901433535,403.103761193778
"16","b_t",2018,120.405375080652,103.766313014561,26.2176319387118,321.609884028878
"17","bmsy",2003,146.816565709644,121.095462010795,35.2999057762107,395.144528601801
"18","ck",2003,0.0292696123890427,0.0223900717201334,0.00632680637886889,0.0708220446129944
"19","ck",2004,0.00585392247780855,0.00447801434402668,0.00126536127577378,0.0141644089225989
"20","ck",2005,0.00585392247780855,0.00447801434402668,0.00126536127577378,0.0141644089225989
"21","ck",2006,0.0292696123890427,0.0223900717201334,0.00632680637886889,0.0708220446129944
"22","ck",2007,0.0468313798224684,0.0358241147522134,0.0101228902061902,0.113315271380791
"23","ck",2008,0.0292696123890427,0.0223900717201334,0.00632680637886889,0.0708220446129944
"24","ck",2009,0.0292696123890427,0.0223900717201334,0.00632680637886889,0.0708220446129944
"25","ck",2010,0.0409774573446598,0.0313461004081868,0.00885752893041645,0.0991508624581921
"26","ck",2011,0.0117078449556171,0.00895602868805336,0.00253072255154756,0.0283288178451978
"27","ck",2012,0.00585392247780855,0.00447801434402668,0.00126536127577378,0.0141644089225989
"28","ck",2013,0.0117078449556171,0.00895602868805336,0.00253072255154756,0.0283288178451978
"29","ck",2014,0.0117078449556171,0.00895602868805336,0.00253072255154756,0.0283288178451978
"30","ck",2015,0.0234156899112342,0.0179120573761067,0.00506144510309511,0.0566576356903955
"31","ck",2016,0.0234156899112342,0.0179120573761067,0.00506144510309511,0.0566576356903955
"32","ck",2017,0.0234156899112342,0.0179120573761067,0.00506144510309511,0.0566576356903955
"33","ck",2018,0.0409774573446598,0.0313461004081868,0.00885752893041645,0.0991508624581921
"34","crashed",2003,0,0,0,0
"35","delta",2003,100,0,100,100
"36","dep_t",2003,0.744620408118205,0.0724419419984719,0.636411996283341,0.865656549167505
"37","dep_t",2004,0.454266286899479,0.175456803883147,0.252139625784786,0.733835990438518
"38","dep_t",2005,0.479767526040038,0.204762497139372,0.245685279540493,0.829677580647108
"39","dep_t",2006,0.924617284383274,0.434023529079207,0.438112266738942,1.65391869833259
"40","dep_t",2007,1.20049990997932,0.57671154973425,0.563900202501345,2.18497891629284
"41","dep_t",2008,1.15198567048395,0.585691113954797,0.532083958948019,2.07127921926356
"42","dep_t",2009,1.10102438417577,0.54456347712261,0.501642213286564,2.03214016667521
"43","dep_t",2010,0.934554252901154,0.427172384553924,0.439564895235093,1.65456137140258
"44","dep_t",2011,0.532800900331504,0.26555462433753,0.246975545981153,0.980001848997762
"45","dep_t",2012,0.380782998561411,0.192309044305197,0.179784457973515,0.686206514370455
"46","dep_t",2013,0.438801008951526,0.198805006124155,0.204645255253309,0.783661703654481
"47","dep_t",2014,0.495353086063515,0.215707260351615,0.244304435705837,0.894957260055102
"48","dep_t",2015,0.615747826153428,0.259181148704719,0.304328270150887,1.08651272506514
"49","dep_t",2016,0.572066746769408,0.270910426923891,0.249245027804594,1.0716540253251
"50","dep_t",2017,0.507553632087341,0.247129512712272,0.237280774381528,0.890501791609379
"51","dep_t",2018,0.411844833862524,0.0907168440754897,0.280313992024471,0.570534607441537
"52","growth_t",2003,0.00995867341504798,0.00293180964029601,0.00539896562696464,0.0149175281437213
"53","growth_t",2004,0.0116658595753094,0.00845168565853766,0.00757415941246432,0.0171506626511224
"54","growth_t",2005,0.0111483719288797,0.00852345918216178,0.00633930029332616,0.0170193485757546
"55","growth_t",2006,-0.00677355398718025,0.0511762835803354,-0.0621051929821552,0.0150302862687324
"56","growth_t",2007,-0.0313433683448908,0.0977510958447474,-0.133826652170861,0.0133136522623202
"57","growth_t",2008,-0.0289114296182916,0.123958954689431,-0.123771578010738,0.0134271738736879
"58","growth_t",2009,-0.0230578080574554,0.0896558809398519,-0.112601072867372,0.0140467446492752
"59","growth_t",2010,-0.00703377716940692,0.0464099307777929,-0.0641913212534335,0.0149387953195632
"60","growth_t",2011,0.00956285653255307,0.0209269712093527,0.00111365958156212,0.0169378624362494
"61","growth_t",2012,0.0107173267091049,0.0172789025092821,0.00642104350255972,0.0165641940056826
"62","growth_t",2013,0.0110828351979148,0.00700080978303356,0.00638625260902185,0.0166170661648636
"63","growth_t",2014,0.0109474181431112,0.00700264567998077,0.00483771880600204,0.0169384139400603
"64","growth_t",2015,0.00911303975678938,0.0112503196839739,-0.00568988192268475,0.0168781176140014
"65","growth_t",2016,0.00914872312604695,0.0118175940790867,-0.00433174663624012,0.0167390665424331
"66","growth_t",2017,0.0102368966378729,0.0217149543286613,0.0048362635783508,0.0172172814605771
"67","growth_t",2018,0.0125995290304126,0.00279694008024165,0.0085936834743642,0.0174457966619523
"68","index_hat_t",2003,218.059113247365,180.978574345384,50.8999703623148,578.15138653165
"69","index_hat_t",2004,132.831633115191,127.588082120722,26.9630840652991,368.112504751025
"70","index_hat_t",2005,138.92584049988,137.67586097717,28.2313932905332,371.59932613676
"71","index_hat_t",2006,265.648474476354,273.155430904966,51.9090542394949,721.676973417318
"72","index_hat_t",2007,348.251565213535,359.133824614391,64.5083465658944,955.241694935652
"73","index_hat_t",2008,335.041890648484,348.86815871191,62.0202328351855,947.516115391787
"74","index_hat_t",2009,316.73246142399,309.819557280795,60.0311338597523,887.443384125428
"75","index_hat_t",2010,271.79202828366,268.197166660497,50.1917270634061,754.813781430517
"76","index_hat_t",2011,155.680017260177,159.288877348454,28.8195185453679,429.634152985584
"77","index_hat_t",2012,109.865244357301,114.324538480985,20.1707530318206,290.022237129501
"78","index_hat_t",2013,125.741897589172,123.541520760781,25.0885257616305,333.247787324473
"79","index_hat_t",2014,143.135834455513,141.119726620309,27.8599665836877,390.958346809985
"80","index_hat_t",2015,181.115121826327,188.970822320213,33.85496427409,489.729685102632
"81","index_hat_t",2016,168.917239025009,175.325278346791,29.2914440844593,480.416947649452
"82","index_hat_t",2017,147.679603101012,150.624744224056,28.2538901433535,403.103761193778
"83","index_hat_t",2018,120.405375080652,103.766313014561,26.2176319387118,321.609884028878
"84","k",2003,293.633131419288,242.190924021591,70.5998115524213,790.289057203602
"85","log_b",2003,5.10524134436013,0.746364434950085,3.92986206231552,6.35983552036832
"86","log_b",2004,4.55490030324331,0.809814890254177,3.29446838652483,5.90838839325094
"87","log_b",2005,4.59298530041337,0.817413810747169,3.34043362206299,5.91781511252963
"88","log_b",2006,5.23419536708436,0.818617129982641,3.94949309100165,6.58157735710543
"89","log_b",2007,5.4924563985466,0.839236657202738,4.16679456999499,6.86196437819137
"90","log_b",2008,5.44577096059978,0.847962083461272,4.12746064125907,6.8538347223605
"91","log_b",2009,5.40231095572217,0.835867010537603,4.09486272948568,6.78834424900599
"92","log_b",2010,5.24574110337696,0.839653268722207,3.91585018391658,6.62647105022662
"93","log_b",2011,4.67756872614516,0.850034402271092,3.36105276822799,6.06293401707045
"94","log_b",2012,4.34468516761689,0.833212221014276,3.00423367155741,5.66995662548933
"95","log_b",2013,4.49206202032387,0.817372879894027,3.22241051690008,5.80888597669084
"96","log_b",2014,4.61824793809107,0.819619801914384,3.32719059766329,5.96860078728063
"97","log_b",2015,4.83946996830666,0.835379232468901,3.52208547909377,6.1938523528283
"98","log_b",2016,4.74500136028534,0.871439667700766,3.3772898035079,6.17465412811717
"99","log_b",2017,4.63558241224778,0.833707395874454,3.34123114805949,5.99919352442412
"100","log_b",2018,4.49368310808934,0.77035623495027,3.26643125881389,5.77333915047597
"101","log_b_div_bmsy",2003,0.393541233158873,0.097312976916696,0.24123802963024,0.548880133305635
"102","log_b_div_bmsy",2004,-0.156799807957942,0.342253734802925,-0.684625096713083,0.383677152267179
"103","log_b_div_bmsy",2005,-0.118714810787884,0.388282221254217,-0.710556733897156,0.506429023019028
"104","log_b_div_bmsy",2006,0.5224952558831,0.424467357174928,-0.132132907212245,1.1962942842743
"105","log_b_div_bmsy",2007,0.780756287345344,0.430501891849309,0.120269184345343,1.47475335831264
"106","log_b_div_bmsy",2008,0.734070849398527,0.440264942827636,0.0621931685850004,1.42131336425046
"107","log_b_div_bmsy",2009,0.690610844520914,0.435801996388588,0.00327903124268467,1.40223621102396
"108","log_b_div_bmsy",2010,0.534040992175706,0.426154873469218,-0.128823176541559,1.19668293995814
"109","log_b_div_bmsy",2011,-0.0341313850560924,0.435398696582586,-0.705318883519547,0.672946351079495
"110","log_b_div_bmsy",2012,-0.367014943584362,0.429126996543658,-1.02284942747238,0.316570525297002
"111","log_b_div_bmsy",2013,-0.219638090877383,0.420299048211916,-0.893330084427198,0.449369151818952
"112","log_b_div_bmsy",2014,-0.0934521731101849,0.408326270875291,-0.716192985502968,0.582167737372732
"113","log_b_div_bmsy",2015,0.127769857105399,0.401123479714184,-0.496501609113102,0.776120101042369
"114","log_b_div_bmsy",2016,0.0333012490840779,0.453392357322662,-0.696173593993535,0.762350453012799
"115","log_b_div_bmsy",2017,-0.0761176989534804,0.421823152436534,-0.745363959189572,0.577176995305672
"116","log_b_div_bmsy",2018,-0.218017003111916,0.220121273822586,-0.578697723845403,0.131965730231678
"117","log_c_div_msy",2003,0.533975435280223,0.758253002449734,-0.709900349253777,1.74242410542599
