"","variable","year","mean","sd","lower","upper"
"1","b_t",2003,27259.0426095012,25924.3849752448,5314.2962792228,68977.0956198741
"2","b_t",2004,19332.5736512825,20411.8566523965,3273.32622379722,55721.0688306939
"3","b_t",2005,13464.9800039613,16289.3892255834,2319.07094309263,37386.9541949269
"4","b_t",2006,12958.983090274,14341.194811933,2094.24186316561,36113.7132975995
"5","b_t",2007,15181.3800454219,17618.9392359356,2250.50635392063,43841.9541793076
"6","b_t",2008,21135.6649903409,23607.0195331923,3251.33338426002,59054.8440007802
"7","b_t",2009,46670.8583455485,55785.2001815308,6532.3290825396,140122.736961492
"8","b_t",2010,65439.0457441166,70209.0067999469,9994.42480289398,188252.54047445
"9","b_t",2011,99352.1358456529,106779.512919128,16456.8056743118,280983.124173061
"10","b_t",2012,118340.08269865,123875.650357782,19886.2922480804,332556.229590642
"11","b_t",2013,137699.907453046,159398.853606727,21745.6589599309,403262.819006212
"12","b_t",2014,156119.24424997,157965.268837727,27389.050297439,441304.928771952
"13","b_t",2015,146260.816387492,154026.547552173,23124.1624099219,386030.877796791
"14","b_t",2016,79284.4049939359,117236.334594001,9523.45117862565,250459.742681894
"15","b_t",2017,34624.1697700163,40480.6090943964,5187.60680003605,101442.237046206
"16","b_t",2018,16854.9990870748,16849.262487679,3149.37197748385,45404.5843803154
"17","bmsy",2003,19015.7039657073,17970.0814847341,3791.63096219113,48497.454074974
"18","ck",2003,0.00240470932775135,0.00204804856950382,0.000505183327890351,0.00646161295351761
"19","ck",2004,0.00441681305097187,0.00376172186235395,0.000927887745104726,0.0118682686901344
"20","ck",2005,0.00255193642945041,0.00217343929824895,0.000536112919393842,0.00685722190985542
"21","ck",2006,0.00269916353114948,0.00229883002699408,0.000567042510897333,0.00725283086619323
"22","ck",2007,0.00377882894360927,0.00321836203779171,0.000793859515256266,0.0101539632126705
"23","ck",2008,0.00397513174587468,0.00338554967611855,0.000835098970594254,0.0106814418211209
