"","variable","year","mean","sd","lower","upper"
"1","b_t",1986,250.497229394625,227.943162323237,60.8447036008174,648.593854469981
"2","b_t",1987,290.172106058732,290.587595775879,59.9323855659084,773.858809376354
"3","b_t",1988,395.781304916391,406.011838612075,80.2792857944274,1072.76061010905
"4","b_t",1989,528.099173716097,576.044528346844,100.971919630854,1446.05417358433
"5","b_t",1990,484.279536339089,534.455050389387,91.1862083117131,1346.70483941491
"6","b_t",1991,364.503118628583,394.525085178611,74.6579989224876,1006.15207018412
"7","b_t",1992,329.782439107185,354.513875245135,63.7712883311103,882.144746490162
"8","b_t",1993,493.903627515133,522.069966227041,96.3887574343996,1305.97505811125
"9","b_t",1994,592.687392593335,652.135234279447,112.038702186564,1639.5267086196
"10","b_t",1995,404.690795170109,410.136195745858,80.5215731708957,1102.98304900532
"11","b_t",1996,375.274212356347,401.748496253528,74.2484679177696,1004.10445142168
"12","b_t",1997,451.318136838465,474.62348972302,88.6900142133815,1187.19631291776
"13","b_t",1998,493.244339620159,515.507913302809,97.8404231724824,1316.18779826278
"14","b_t",1999,486.166987961686,519.133633308052,94.9069800749076,1317.34920221321
"15","b_t",2000,525.013837042843,535.10751273889,104.734039558439,1436.32652125359
"16","b_t",2001,478.485515628615,500.431498576636,93.0906922252303,1274.20769417692
"17","b_t",2002,707.797459432434,764.72086919226,142.294240510002,1851.37551718024
"18","b_t",2003,607.794981262119,640.07000657445,116.672221556258,1641.41747069189
"19","b_t",2004,482.332168039899,471.962643963333,95.679459684898,1287.61544915209
"20","b_t",2005,413.875050176027,414.71115290281,80.8974136243586,1182.02120665652
"21","b_t",2006,452.113937861517,465.141827101275,86.7667516949502,1247.80043846062
"22","b_t",2007,303.569656497264,305.534647832674,60.216807853746,826.359274435195
"23","b_t",2008,246.158949153715,262.776092892009,48.9154580724217,693.606597193098
"24","b_t",2009,238.051505037426,241.873325721253,47.939098865785,622.792036429649
"25","b_t",2010,272.417295717398,275.783286180638,55.4193121545372,772.689484707945
"26","b_t",2011,228.679156708523,242.505406949706,47.5142374232461,647.521014213596
"27","b_t",2012,496.624461610038,519.67595816285,102.661216858352,1335.96800101985
"28","b_t",2013,477.397956691537,508.097917836386,93.8108658548799,1306.65668944057
"29","b_t",2014,614.250207560528,636.194055741439,117.821392267543,1680.42928889697
"30","b_t",2015,438.597193372079,431.178589959595,87.121132890812,1205.04300686473
"31","b_t",2016,318.773541200218,329.043530148301,58.3492663003333,876.155242622969
"32","b_t",2017,229.238156719681,223.486659157362,43.7152321530711,646.919584921505
"33","b_t",2018,154.666889062842,142.300237775345,35.4402774099251,397.531389448186
"34","bmsy",1986,173.624414347911,153.357024029622,43.3481343746738,446.504418228302
"35","ck",1986,0.00478946197304909,0.00345431568606205,0.00111980996381243,0.0115345235758832
"36","ck",1987,0.00957892394609819,0.0069086313721241,0.00223961992762487,0.0230690471517664
"37","ck",1988,0.0191578478921964,0.0138172627442482,0.00447923985524974,0.0461380943035328
