"","variable","year","mean","sd","lower","upper"
"1","b_t",1951,1165212.6146926,71708.2719653544,1030390.59872304,1256260.1964142
"2","b_t",1952,1321165.38176691,63628.24707702,1216713.47901387,1425178.77346283
"3","b_t",1953,1356534.08281831,76054.2453889324,1252740.35106926,1513909.93210268
"4","b_t",1954,1053245.43068634,50974.2073934606,984128.564324133,1138867.70668328
"5","b_t",1955,928950.729752095,53279.159437022,843426.366128367,999077.712017203
"6","b_t",1956,958013.660414359,44206.7137989589,882394.259963385,1022493.5133471
"7","b_t",1957,787117.775814091,32652.1159980522,735200.399395655,835696.687392541
"8","b_t",1958,783817.640109702,41968.252587189,700638.538951536,835030.482836296
"9","b_t",1959,662431.209797485,33060.1780886893,610782.509130358,711453.256767775
"10","b_t",1960,734358.457745218,35646.2160369006,682809.598293265,796806.620810797
"11","b_t",1961,676643.098611337,41566.2606139733,624102.120000576,749551.090307878
"12","b_t",1962,835472.247158271,58442.8720331641,764799.858695737,949440.910697066
"13","b_t",1963,910030.122785783,60145.6902601922,818893.577073039,1011474.89681304
"14","b_t",1964,691467.488358457,28497.3733378846,649574.997330192,740660.057806581
"15","b_t",1965,587458.664277543,55013.6375589953,515344.54206689,678355.076864471
"16","b_t",1966,592416.035411355,49649.4129214315,517305.675388213,670472.505846685
"17","b_t",1967,545260.31092802,41847.6197858406,479948.863665449,614389.443669015
"18","b_t",1968,582462.937562383,60751.469931106,494001.808633683,682704.336481852
"19","b_t",1969,621220.433376169,44636.2348577635,555750.760117376,689535.203143423
"20","b_t",1970,547920.970461107,42290.5073898268,486183.138505362,618574.457807259
"21","b_t",1971,567673.351876736,40697.7202594485,515291.260846889,641406.615458963
"22","b_t",1972,721728.6556739,48317.4817017416,657274.902554081,816460.110246957
"23","b_t",1973,971686.976770599,55350.3169215804,882910.591090087,1069100.55470896
"24","b_t",1974,696075.756419324,37875.8652367149,637887.280437624,766242.910367973
"25","b_t",1975,689606.095612068,33499.9493393526,631087.120747306,738151.629791699
"26","b_t",1976,691913.433882586,31801.4371437609,641112.387048218,738335.559768981
"27","b_t",1977,772306.664387792,38767.3845072766,708031.46730784,827252.555005826
"28","b_t",1978,705118.960272716,39369.167079856,644802.164182694,766037.047676355
"29","b_t",1979,609392.860164613,35345.5171482031,557172.834559323,663980.037139764
"30","b_t",1980,656525.26716086,38878.1771510137,593569.446466428,710511.000044943
"31","b_t",1981,733691.246218112,37992.4765505042,675869.53981455,791939.087978204
"32","b_t",1982,595358.809033985,22101.6228506848,565329.917986794,634378.058617288
"33","b_t",1983,531838.573209839,19433.921745704,498194.559163674,562857.26122632
"34","b_t",1984,520343.593371497,25831.3630538279,477222.094016424,565307.15976058
"35","b_t",1985,432722.785719217,31212.2862126708,384273.66863561,482234.303756822
"36","b_t",1986,437267.481485934,20966.2900872535,406466.922084629,469234.454881213
"37","b_t",1987,354486.174269108,11535.089454255,338622.57359198,378006.964069139
"38","b_t",1988,359601.732530409,13812.3424000575,339600.59998296,386708.733330467
"39","b_t",1989,404980.250486136,14624.4695702224,378334.652002236,433585.834648343
"40","b_t",1990,343049.815922356,12468.5972021374,322093.880738988,362595.718021943
"41","b_t",1991,322356.330821248,17265.3349006442,296859.53818001,352845.738053247
"42","b_t",1992,306526.33043958,10368.0207878693,289140.06671746,321330.598919764
"43","b_t",1993,309657.864399479,13827.4436795341,288460.148769008,331496.198078517
"44","b_t",1994,296978.456237872,8311.83264395933,283073.030775689,309092.879934032
"45","b_t",1995,297452.903770354,12979.841596496,276402.484916895,320311.434004689
"46","b_t",1996,271230.160432559,7870.11788175021,259399.889938747,283918.328414877
"47","b_t",1997,253515.525093742,9551.40941472705,239455.681985622,269845.382007841
"48","b_t",1998,262954.05053703,9069.11566482583,251003.566407706,284153.28777639
"49","b_t",1999,225000.018193856,7974.63673710315,213343.139031156,239735.461694144
"50","b_t",2000,263821.918823262,9528.40920205178,251478.611393485,281488.206113586
"51","b_t",2001,228343.619286481,11200.3391856292,210725.165120329,247237.967407482
"52","b_t",2002,237787.229313466,8003.65086360033,224723.977273702,249588.638258472
"53","b_t",2003,205767.059678108,11058.5305058769,190048.20301951,222201.81208454
"54","b_t",2004,193690.542585287,13882.357236461,173960.106797363,216283.062142875
"55","b_t",2005,192016.124787728,4511.93437159684,184361.341285407,199658.323294521
"56","b_t",2006,169175.183692447,5836.5338044816,161504.58324691,180139.296906426
"57","b_t",2007,169792.689738808,4722.46375416376,162046.714470543,177396.139637866
"58","b_t",2008,179093.621619441,5281.05798747563,170912.436249711,188302.746528651
"59","b_t",2009,178242.63314927,4954.79818350439,169700.282651784,185486.740862848
"60","b_t",2010,149286.668623615,3962.66041281525,142810.368262256,155909.28409191
"61","b_t",2011,150369.446813992,4356.69349041356,143666.387872699,157470.059345383
"62","b_t",2012,157145.698456677,7814.41481166591,145760.088918976,169821.707517479
"63","b_t",2013,147018.588892681,8075.73259914324,134850.846188348,160496.581882664
"64","b_t",2014,124380.790423429,8984.76850556069,110830.540618265,139005.572198618
"65","b_t",2015,127529.584550377,9980.75622490593,112594.691428611,143633.65806726
"66","b_t",2016,184866.273747247,19397.8365761311,156265.561624348,217979.789102573
"67","b_t",2017,258629.028404502,28988.7918051469,214211.205883932,306565.958004714
"68","b_t",2018,345490.672962569,44334.8590823534,279868.723011966,421376.113118723
"69","bmsy",1951,685454.554012264,6710.14836396561,675157.323936395,695787.1358948
"70","ck",1951,0.133027393040827,0.00130209286435549,0.131039358595082,0.135043339937156
"71","ck",1952,0.129598682766182,0.00126853211359202,0.127661888850486,0.131562669703899
"72","ck",1953,0.120078540407857,0.00117534747583385,0.118284020729851,0.121898255545601
"73","ck",1954,0.11387768140052,0.00111465250104884,0.11217583076622,0.115603426400349
"74","ck",1955,0.118327709629315,0.00115821007118867,0.116559355328355,0.120120892022235
"75","ck",1956,0.125878167361779,0.00123211512872101,0.123996974872307,0.127785772216748
"76","ck",1957,0.1078956762405,0.00105609970184447,0.106283223977775,0.109530767695517
"77","ck",1958,0.0828733863638314,0.000811177627123779,0.0816348809480613,0.0841292806740893
"78","ck",1959,0.0739003786238016,0.000723348428317233,0.0727959707653943,0.0750202926168424
"79","ck",1960,0.0841135581652989,0.000823316622080782,0.0828565189407877,0.0853882465031397
"80","ck",1961,0.0884906351116549,0.000866160133693731,0.0871681824445277,0.0898316553115528
"81","ck",1962,0.0709823273262309,0.000694786087241933,0.0699215284295676,0.0720580200779004
"82","ck",1963,0.0970988864394884,0.000950419039865865,0.0956477873352163,0.0985703593014318
"83","ck",1964,0.0612068554793692,0.000599102244639679,0.0602921466045483,0.0621344070724445
"84","ck",1965,0.0674077144867068,0.000659797219424691,0.06640033656818,0.0684292362176964
"85","ck",1966,0.0724413529750162,0.000709067257779583,0.071358749597481,0.0735391563473714
"86","ck",1967,0.078131553005279,0.000764763822876418,0.076963912152343,0.0793155877983084
"87","ck",1968,0.0820709222569994,0.000803322983328072,0.080844409305709,0.0833146557258802
"88","ck",1969,0.0854266812492057,0.000836169675564667,0.0841500179919097,0.0867212691456636
"89","ck",1970,0.0544085254688539,0.0005325591305195,0.0535954145726561,0.0552330526248442
"90","ck",1971,0.0554283843973548,0.000542541668725317,0.0546000321690276,0.0562683668772045
"91","ck",1972,0.0752725922464842,0.000736779869207893,0.0741476772738168,0.0764133012782799
"92","ck",1973,0.0940334735513904,0.000920414300566263,0.0926281856614304,0.0954584919992732
"93","ck",1974,0.0751303372457276,0.000735387455080472,0.0740075482099453,0.0762688904920065
"94","ck",1975,0.0955851473288736,0.000935602325433054,0.0941566703735063,0.0970336804218556
"95","ck",1976,0.10066985171489,0.000985372204756763,0.0991653861436842,0.102195440320962
"96","ck",1977,0.0849430142466334,0.000831435467531436,0.0836735791747464,0.0862302724723339
"97","ck",1978,0.102516978186253,0.00100345216665743,0.100984908142263,0.104070558838113
"98","ck",1979,0.0828697387997094,0.000811141924197435,0.0816312878951415,0.0841255778334156
"99","ck",1980,0.0849284239901455,0.000831292655826059,0.0836592069630673,0.0862154611096392
"100","ck",1981,0.106245518231724,0.00103994769796639,0.104657726836865,0.107855602574746
"101","ck",1982,0.105921614537693,0.00103677727810703,0.104338663737588,0.107526790322923
"102","ck",1983,0.0922483556701015,0.000902941288413448,0.0908697455624884,0.0936463217735754
"103","ck",1984,0.0977817104431199,0.000957102627677485,0.0963204068417998,0.0992635310755443
"104","ck",1985,0.0828142958250556,0.000810599239717005,0.0815766734907608,0.0840692946551757
"105","ck",1986,0.0854981735059962,0.000836869452921012,0.0842204418291374,0.0867938448228677
"106","ck",1987,0.0866814433071611,0.000848451482227046,0.0853860281963151,0.0879950463374087
"107","ck",1988,0.0868754937184495,0.000850350877908553,0.0855771786116476,0.0881920374612483
"108","ck",1989,0.0813983114329094,0.000796739363710216,0.080181850347301,0.0826318519056541
"109","ck",1990,0.0760728678148429,0.000744613091247794,0.0749359930844173,0.0772257045220848
"110","ck",1991,0.0780250441329177,0.000763721297427169,0.0768589950070853,0.079207464850637
"111","ck",1992,0.0708714413769232,0.000693700718281072,0.0698122996208062,0.0719454537214206
