"","variable","year","mean","sd","lower","upper"
"1","b_t",1951,55599.8957947612,68182.4934798735,33545.2800015631,89546.7431492962
"2","b_t",1952,53674.2486346879,80952.2811697544,30364.1946884456,90295.3448156606
"3","b_t",1953,48607.0124813731,69755.549562187,27003.946075003,80593.03701703
"4","b_t",1954,42856.699110474,64951.3215998773,21943.758321672,72291.1219034328
"5","b_t",1955,37531.4996865227,57841.092864651,20589.1074590899,63523.6294234093
"6","b_t",1956,41498.6504475272,55879.3194705546,23011.2655735053,70566.5326568515
"7","b_t",1957,44661.4892010857,69364.2206635751,23927.2667670581,77873.8402943571
"8","b_t",1958,49456.015160736,69113.8776758935,26406.3404299631,86160.7508688001
"9","b_t",1959,48023.279608214,72647.6847633076,26023.640635328,80244.5365860275
"10","b_t",1960,47026.5024864586,76758.9567898735,26374.2764222368,77389.5553950082
"11","b_t",1961,46224.9060310263,68302.6794406813,26009.8977654151,77136.2207946737
"12","b_t",1962,75175.4894166962,103130.591011392,43069.9402984022,125873.340648405
"13","b_t",1963,88179.5993492124,120780.900030316,46917.9533343526,152755.466296148
"14","b_t",1964,100841.127701212,149075.777072467,52107.4954585843,163943.725332486
"15","b_t",1965,97538.7903601117,137320.536800345,52891.239061988,169451.111141367
"16","b_t",1966,102277.021066933,153053.141186154,55874.1768208127,169797.972697703
"17","b_t",1967,113546.107480215,162520.482353547,62199.969376089,193144.911263227
"18","b_t",1968,105128.008604432,166796.437747648,57868.869518797,177798.375362389
"19","b_t",1969,102049.629331707,153298.325267137,56395.4550267407,171251.142983497
"20","b_t",1970,82713.2721482232,122218.886882646,48448.4246890639,143017.731088855
"21","b_t",1971,88075.2529415123,123221.291542009,48961.7437759439,154966.874845886
"22","b_t",1972,88713.1004412818,154173.92250433,49330.9037259126,148924.071034639
"23","b_t",1973,83939.0652690058,124399.757371463,45024.6298731553,143718.453253523
"24","b_t",1974,77602.4917756543,123861.571430321,40561.9181499687,130638.289120795
"25","b_t",1975,73045.389606063,101804.625694964,38921.6480513006,123652.604867093
"26","b_t",1976,72974.023417412,115766.39354379,40143.9274221043,120032.812730866
"27","b_t",1977,77425.7816577374,114554.607291866,42379.2879135443,131451.973024711
"28","b_t",1978,81199.5788053012,122200.794846282,44742.2551034099,136096.642980278
"29","b_t",1979,89859.6761514369,122258.88824495,50465.5739984694,153706.883556587
"30","b_t",1980,74690.9094732068,95331.6030319771,39683.4743173861,123807.855012638
"31","b_t",1981,73048.8157412437,100601.201928881,39843.4766782219,121155.141899049
