"","variable","year","mean","sd","lower","upper"
"1","b_t",1951,3823799.7010765,9248099.80030272,303973.043917916,13110103.0905502
"2","b_t",1952,2139135.19432984,5483053.09363583,154489.476450495,7525435.53970744
"3","b_t",1953,1211238.50912935,3029488.5925791,89577.2676310726,4198497.79911412
"4","b_t",1954,996544.834583625,2633258.42117881,74427.7228684293,3468017.90390867
"5","b_t",1955,753356.562099755,1767556.51652954,56437.003939162,2559626.2957076
"6","b_t",1956,672092.888754952,1779618.13357376,48829.8575285998,2283742.1638005
"7","b_t",1957,685266.621942547,1686500.3210299,52953.9863648944,2288505.5410138
"8","b_t",1958,795266.711555891,1920852.16847557,61385.6943401972,2735205.52889308
"9","b_t",1959,880326.066980355,2257503.43184338,65425.8749490976,2865535.06147661
"10","b_t",1960,1021341.86304266,2669437.41685755,74546.1500967639,3461701.85754455
"11","b_t",1961,1004053.59250893,2446719.48390127,74542.5332354024,3527368.59640122
"12","b_t",1962,1392621.00206282,3470752.6529383,105905.983420116,4758324.70406514
"13","b_t",1963,1686968.40978604,4111369.29660298,122140.269184718,5895512.98163563
"14","b_t",1964,1967502.78344011,5009689.52654138,143450.191012338,6755738.54268539
"15","b_t",1965,1888495.58717371,4785695.52829779,139815.275266861,6576141.4463591
"16","b_t",1966,1621805.10713724,4144151.54332393,114993.564680526,5485014.67347615
"17","b_t",1967,1843201.9333049,4711881.4747161,135189.838770098,6439065.752408
"18","b_t",1968,1988759.95459035,4585968.39755398,144857.075827321,6915606.41393519
"19","b_t",1969,2139284.77687249,4926276.63663781,161764.871383576,7433341.85786346
"20","b_t",1970,2274924.81807418,5281899.26458798,170900.344266845,7941146.10198866
"21","b_t",1971,2254069.5993222,5491471.44557586,167407.245128988,7891386.49057814
"22","b_t",1972,2057307.2674656,4920195.72881627,149080.78422308,6920361.57056489
"23","b_t",1973,1829132.80867729,4357759.10828267,139641.789763442,6507934.34882015
"24","b_t",1974,1820984.2917341,4472990.07103068,140181.424657331,6492306.07638607
"25","b_t",1975,1957823.48204617,5004785.3581237,141962.967809656,6780602.63302667
"26","b_t",1976,2715198.89430695,7519576.65174509,195659.163576806,9267637.71760082
"27","b_t",1977,3368449.96493206,8829754.92676099,250178.392291996,11596496.2257206
"28","b_t",1978,3912056.46004867,10147745.1439289,274989.742764359,14360008.5832917
"29","b_t",1979,4478356.44589498,10980105.8412486,334934.168752457,15541797.983626
"30","b_t",1980,5117822.89595523,12219614.4642946,386370.883331668,17454589.9043739
"31","b_t",1981,5862565.48539015,14220695.3573704,442258.698498758,20480460.4736898
"32","b_t",1982,6855596.82515521,17701683.4065188,508718.321206959,22693713.5562659
"33","b_t",1983,6041955.96406576,14954465.9021963,449053.66829233,21221998.2960619
"34","b_t",1984,6920656.66626108,17064521.9888022,519056.509723019,24313338.8273588
"35","b_t",1985,10346539.5313108,27224920.0759019,786321.672873988,34931812.713878
"36","b_t",1986,11970340.8762932,31173220.543046,902758.971204815,40542572.952942
"37","b_t",1987,12125874.9329563,30653477.1453302,931168.394462085,40785501.9094858
"38","b_t",1988,11425890.1140411,31931858.3993873,849372.729075152,38868658.2736844
"39","b_t",1989,10995190.345448,27690166.4198988,826721.002199204,38035341.4546809
"40","b_t",1990,9154837.85293727,21790197.5997919,714856.156376254,32978272.4393871
"41","b_t",1991,8192716.12809081,20903964.9759616,637298.091082709,27585344.1924566
"42","b_t",1992,8660991.397755,21526769.0258282,655395.051622213,30381503.0514925
"43","b_t",1993,9883242.21976998,24328492.3512111,739542.825462196,34249989.067628
"44","b_t",1994,11108190.7555784,28483688.2516072,801303.150960031,36854544.1353522
"45","b_t",1995,9490473.0611116,23490991.643891,736467.945737041,31983673.7709549
"46","b_t",1996,8016198.77642604,21683676.8789996,588175.503070432,27824637.7093733
"47","b_t",1997,8074057.5437082,20474561.9039006,597775.632875908,27343480.3157518
"48","b_t",1998,6696882.7621298,15783105.8285791,516053.747786366,23376879.230972
"49","b_t",1999,6625850.04562523,16326867.6899528,501046.195869817,23121669.7324242
"50","b_t",2000,6541260.52707459,19840273.3669224,489969.371734172,21741072.7096357
"51","b_t",2001,4963772.74066801,12855937.5113339,363161.261459226,17243645.5612538
"52","b_t",2002,4812823.88429595,11659629.2770012,361928.481338421,16777368.5429198
"53","b_t",2003,5680849.72064003,14669153.2489303,437613.044076487,19555743.1834916
"54","b_t",2004,6477713.70393087,15964271.9133127,491952.490072973,22702413.0266108
"55","b_t",2005,6179761.13067674,15823165.9191287,460850.268081689,21429122.3750746
"56","b_t",2006,5143944.01119928,12984696.6090062,381364.249318844,17697585.6057574
"57","b_t",2007,4105596.07468862,10574024.3755596,316375.132055948,14259160.3050292
"58","b_t",2008,3856744.00903636,9745567.79937658,284961.150074994,12688673.5839615
"59","b_t",2009,3182950.1703603,8121151.98847904,233322.341445168,11227471.3801474
"60","b_t",2010,2673702.43302961,6110389.77208161,198170.889986745,9741520.73100635
"61","b_t",2011,2645231.64049948,6230906.54509004,196061.004099005,9372147.40958335
"62","b_t",2012,2674892.33362542,6647382.77250393,202386.478351712,9347013.28843606
"63","b_t",2013,2820515.61491182,6589109.80716021,223642.985722337,9922353.21293898
"64","b_t",2014,2945646.90876897,7050532.41330981,220879.303278323,10280918.3486943
"65","b_t",2015,2936804.54628502,6972794.81710439,221240.973437731,10521405.2988642
"66","b_t",2016,2777609.30225452,6126395.81633905,200451.418491348,10065106.7376515
"67","b_t",2017,2648351.10851347,6305736.41918442,181519.411769349,9398172.13947195
"68","b_t",2018,2365072.48035109,5504342.07552238,172707.857331858,8352203.55579482
"69","bmsy",1951,3021894.14195765,7239899.33330876,247555.284108056,10282270.0293942
"70","ck",1951,0.000982997091559559,0.00103748905992896,7.29417172878294e-05,0.00302963032709967
"71","ck",1952,0.000851930812684951,0.000899157185271765,6.32161549827855e-05,0.00262567961681972
"72","ck",1953,0.000524265115498432,0.000553327498628779,3.89022492201757e-05,0.00161580284111983
"73","ck",1954,0.00065533139437304,0.000691659373285973,4.86278115252196e-05,0.00201975355139978
"74","ck",1955,0.000589798254935736,0.000622493435957376,4.37650303726977e-05,0.0018177781962598
"75","ck",1956,0.000393198836623824,0.000414995623971584,2.91766869151318e-05,0.00121185213083987
"76","ck",1957,0.000458731976061128,0.000484161561300181,3.40394680676537e-05,0.00141382748597985
