"","variable","year","mean","sd","lower","upper"
"1","b_t",1951,204211.79995242,12057.1427009093,187872.686541097,225650.688157938
"2","b_t",1952,301968.510465321,19241.2977652753,277125.03563051,338926.969801385
"3","b_t",1953,117177.081999111,25687.8255073335,88122.6720401371,163709.237218746
"4","b_t",1954,202074.595666612,43683.78725812,143887.485868283,277555.376351624
"5","b_t",1955,170268.874241179,30292.6311737733,133308.338143222,223259.658937164
"6","b_t",1956,281163.551339964,31986.6334771076,231086.584614326,338119.068171379
"7","b_t",1957,184935.003542028,16930.4868629191,153018.595388206,210581.995643866
"8","b_t",1958,210187.92210017,27983.0765126655,169324.425527063,255347.652249192
"9","b_t",1959,217341.583673728,38516.4037724175,166984.083767847,283191.167518926
"10","b_t",1960,165976.11353873,20445.8664111175,130489.639130587,196340.319380378
"11","b_t",1961,136006.096691633,13531.8087909812,115703.732113581,157905.876095952
"12","b_t",1962,130315.66453822,14554.9130372132,112016.421748768,158515.138751736
"13","b_t",1963,193114.193318135,26199.3405694098,160729.284038743,242927.002460154
"14","b_t",1964,249801.721002241,22703.5579796225,215619.640548607,287288.839793626
"15","b_t",1965,150724.618216959,17139.9445457549,120027.969094131,173643.325779715
"16","b_t",1966,139383.985495414,16243.265625005,113110.146090111,165918.082753883
"17","b_t",1967,258672.094757126,33941.4963004251,201470.318806651,313710.905873555
"18","b_t",1968,128338.449088986,14741.3423699823,109259.774790167,153212.272023509
"19","b_t",1969,124666.791293743,12538.7435630981,106625.636071841,143959.034533381
"20","b_t",1970,168236.081328323,17813.718737648,140081.518210586,196906.093692946
"21","b_t",1971,92376.5910974454,20804.6292762549,69387.4955089205,133018.097148788
"22","b_t",1972,89097.6384765343,26298.4717409554,56951.3732416244,130149.456530298
"23","b_t",1973,48945.8269276836,10605.1605028061,35731.4130525609,66671.718220937
"24","b_t",1974,44048.6331908867,9704.51523319291,32251.0714050916,60440.2493983098
"25","b_t",1975,73687.595993902,22753.2058454979,47867.4000094142,111178.419222624
"26","b_t",1976,46293.7125924712,14810.2261592293,29248.1105192989,70265.1562843624
"27","b_t",1977,50841.7593088157,12162.9205374994,37498.7979548098,71386.0362308092
"28","b_t",1978,54504.8899490765,9150.3659404308,43844.9004111079,71364.3270151192
"29","b_t",1979,40650.0106072098,9468.80261042513,29148.0361892432,56865.1429923233
"30","b_t",1980,45711.9887565508,8556.95080389959,35800.5195484007,61036.254714711
"31","b_t",1981,49621.7160887605,10378.6035448822,38084.6977838087,69206.210725972
"32","b_t",1982,57912.9225949671,9698.19784659491,45390.9926375214,75748.3685449485
"33","b_t",1983,30885.0565406933,3816.79385738337,25782.5067245086,37775.456091718
"34","b_t",1984,35891.7022273258,5568.00338570903,28396.6721023514,45671.7238314726
"35","b_t",1985,26830.6505582243,6062.55340891383,20023.5017400233,37186.1852055576
"36","b_t",1986,29096.2726246522,7449.01937377946,20854.0000288053,41801.6686755348
"37","b_t",1987,27278.8532140242,6758.05062884286,19443.8835960151,38425.9250201206
"38","b_t",1988,22162.1900286359,4741.09350165636,15957.7712246653,30501.7839330002
"39","b_t",1989,17638.5049843231,4219.93631145814,11747.9128845576,25682.9013830795
"40","b_t",1990,27045.3381447703,8155.62473249993,16439.355452991,42378.2644406095
"41","b_t",1991,41175.3882168204,10826.7787624564,25323.6893683524,58892.0541897891
"42","b_t",1992,65604.2125722507,14511.6393499186,44002.4485006698,89477.8205403518
"43","b_t",1993,38891.5863758965,9864.74984497361,26967.4183407686,54021.1332466634
"44","b_t",1994,54633.3039109035,9681.57508940386,40156.685675694,70399.1396077617
"45","b_t",1995,41940.5029335791,9432.5212497551,29680.9277856162,56173.1951865313
"46","b_t",1996,34617.9956631298,6810.00599179304,26043.386901968,44104.9649626546
"47","b_t",1997,31397.2420183494,7389.29300393739,22861.2771712914,41639.8855555712
"48","b_t",1998,25190.222065717,5462.49462496542,18373.1791480563,35961.010809958
"49","b_t",1999,27994.9451086631,6210.61335063511,20612.0100738687,41789.3853016265
"50","b_t",2000,23499.1454446549,5351.86116817958,17084.2166401439,34615.3669760418
"51","b_t",2001,39779.2271263473,12594.6310806233,24808.3607168573,60241.716689639
"52","b_t",2002,32376.1992694211,10020.1673537998,20935.6310182166,46817.6558769445
"53","b_t",2003,28054.1382963275,4375.21003389801,22320.5969155402,34645.5736380328
"54","b_t",2004,16029.1251429037,3097.45473183434,12603.5786713188,21802.4696308544
"55","b_t",2005,8752.0516592165,986.314644269638,7307.54362989346,10708.0325268867
"56","b_t",2006,5959.00218289597,512.949360652222,5213.98532728214,6970.22097574503
"57","b_t",2007,3550.42901677028,351.33268012447,2987.52101794279,4161.21663160033
"58","b_t",2008,1732.87952673784,215.209007997548,1345.66138270798,2070.52965981542
"59","b_t",2009,915.305458913541,112.328043655638,741.40859044371,1089.3007959331
"60","b_t",2010,711.367314849173,90.015792695243,568.924077184796,851.368976737934
"61","b_t",2011,443.02041522168,56.5858118519409,357.01077889722,544.2689909478
"62","b_t",2012,350.016108139787,58.0569634499712,275.036163007642,456.468941355731
"63","b_t",2013,478.004917152875,124.017207879672,331.692957191775,705.17494166637
"64","b_t",2014,367.769996859825,60.9822688944556,281.776318571367,478.236774138817
"65","b_t",2015,888.187981071952,198.92899105649,625.483905136202,1255.60344491503
"66","b_t",2016,4573.65741629854,878.182909683543,3342.35401795497,6075.80544773757
"67","b_t",2017,12809.6816336769,2566.46116595278,9175.36404982951,17337.0376075148
"68","b_t",2018,43745.1896872372,10475.9533714835,28709.0065731904,61803.4252880665
"69","bmsy",1951,115185.612595453,6838.59975918447,105445.321110242,126739.692103219
"70","ck",1951,0.0470432589581928,0.00274333714090661,0.0426070154106567,0.0512113761537763
"71","ck",1952,0.0601108308910241,0.00350537523560289,0.0544422974691724,0.0654367584187141
"72","ck",1953,0.0566261450422691,0.00330216507701721,0.0512862222535682,0.061643323148064
"73","ck",1954,0.0544482163867972,0.00317515872790116,0.0493136752438156,0.0592724261039077
"74","ck",1955,0.0509635305380422,0.00297194856931549,0.0461576000282114,0.0554789908332576
"75","ck",1956,0.058804073697741,0.00342917142613326,0.0532587692633208,0.0640142201922203
"76","ck",1957,0.0544482163867972,0.00317515872790116,0.0493136752438156,0.0592724261039077
"77","ck",1958,0.0487856018825703,0.00284494222019944,0.0441850530184588,0.0531080937891013
"78","ck",1959,0.0627243452775904,0.00365778285454214,0.0568093538808755,0.0682818348717017
"79","ck",1960,0.0522702877313253,0.00304815237878512,0.0473411282340629,0.0569015290597514
"80","ck",1961,0.0457365017649097,0.00266713333143698,0.0414234872048051,0.0497888379272825
"81","ck",1962,0.0291842439833233,0.00170188507815502,0.0264321299306851,0.0317700203916945
"82","ck",1963,0.0535770449246084,0.00312435618825475,0.0485246564399145,0.0583240672862452
"83","ck",1964,0.0810189459835542,0.00472463618711693,0.0733787487627976,0.0881973700426147
"84","ck",1965,0.0627243452775904,0.00365778285454214,0.0568093538808755,0.0682818348717017
"85","ck",1966,0.0731784028238554,0.00426741333029917,0.0662775795276881,0.0796621406836519
"86","ck",1967,0.0631599310086848,0.00368318412436535,0.0572038632828261,0.0687560142805329
"87","ck",1968,0.074920745748233,0.004369018409592,0.0678556171354902,0.081558858318977
"88","ck",1969,0.0631599310086848,0.00368318412436535,0.0572038632828261,0.0687560142805329
"89","ck",1970,0.0558638700128539,0.00325771285482659,0.0505958308001548,0.0608135091826093
"90","ck",1971,0.0281736850871843,0.00164295413216518,0.0255168681181599,0.030669924163206
"91","ck",1972,0.0203418536421074,0.00118623930074387,0.0184235890710895,0.0221441783924199
"92","ck",1973,0.0254512742678445,0.00148419619577012,0.0230511843559692,0.0277063028580106
"93","ck",1974,0.0217749306974079,0.00126980947846223,0.0197215250035067,0.0237042286474748
"94","ck",1975,0.018595154860419,0.00108438020875281,0.0168416063692679,0.0202427189630066
"95","ck",1976,0.0175497491057925,0.0010234171611771,0.0158947838045866,0.0191046883818115
"96","ck",1977,0.0137209505294729,0.000800139999431093,0.0124270461614415,0.0149366513781847
"97","ck",1978,0.0146618157086368,0.000855006742249225,0.0132791864696547,0.0159608789012603
"98","ck",1979,0.0151627392993953,0.000884218202545916,0.0137328722818978,0.0165061852214162
"99","ck",1980,0.0172361273794045,0.00100512824690439,0.0156107370351823,0.018763279207453
"100","ck",1981,0.0271413469044907,0.00158275312268417,0.0245818808355372,0.0295461189642759
"101","ck",1982,0.0372251565793255,0.00217079251909147,0.0337147734906918,0.0405233722787196
"102","ck",1983,0.0144265994138458,0.000841290056544692,0.0130661513926014,0.0157048220204914
"103","ck",1984,0.0181813484158793,0.00106024900242076,0.0164668224374149,0.0197922485246169
"104","ck",1985,0.0224326651513604,0.00130816539589528,0.020317234200452,0.02442023955481
"105","ck",1986,0.0282259553749157,0.00164600228454396,0.025564209246394,0.0307268256922658
"106","ck",1987,0.0256342202749041,0.00149486472909587,0.0232168783047884,0.0279054582097197
"107","ck",1988,0.0181595691293246,0.0010589789389296,0.0164470969673174,0.0197685395541753
"108","ck",1989,0.0157594917509946,0.000919017942203713,0.01427335016257,0.017155811011515
"109","ck",1990,0.0159032350422557,0.000927400361245372,0.0144035382652137,0.0173122902164294
"110","ck",1991,0.0154110231661191,0.000898696926345145,0.0139577426410096,0.01677646748445
"111","ck",1992,0.0277250317841571,0.00161679082424727,0.0251105234341509,0.0301815193721098
"112","ck",1993,0.0415679463183365,0.00242404317922886,0.0376480322281386,0.0452509409847673
"113","ck",1994,0.0280822120836545,0.0016376198655023,0.0254340211437503,0.0305703464873514
"114","ck",1995,0.0329781957011553,0.00192313013831518,0.0298683068216742,0.0359001230426148
"115","ck",1996,0.037808841458992,0.00220483022065457,0.0342434160893055,0.0411587726865535
"116","ck",1997,0.0386713012065588,0.00225512473490452,0.0350245447051676,0.0420976479160394
"117","ck",1998,0.034319799752926,0.00200136604937066,0.0310833957796818,0.0373605956218151
"118","ck",1999,0.025878148284317,0.00150908944019687,0.0234378035698807,0.0281709986786653
