"","variable","year","mean","sd","lower","upper"
"1","b_t",2006,56333.2873818359,121011.058817483,4295.30431868163,179930.000623874
"2","b_t",2007,63403.9469268247,138607.785370531,3938.15806316724,218320.118720485
"3","b_t",2008,88167.3471343885,185459.553578085,5346.99069353704,312312.296844613
"4","b_t",2009,54984.452363098,123952.172533006,2529.91670594701,202336.830720306
"5","b_t",2010,43396.6735173028,106385.127588002,2154.67129862384,147205.126750556
"6","b_t",2011,40756.9158887408,91017.1685021864,2103.91724116188,144607.487115931
"7","b_t",2012,86551.0154985131,207790.353813151,4329.23909020277,306105.285878101
"8","b_t",2013,30386.5105280429,67178.5125566963,1312.77664069018,113767.02169077
"9","b_t",2014,35340.4839980733,93513.0959736531,1448.95064549042,123211.323514042
"10","b_t",2015,39221.548435694,108402.884312205,1577.71576596776,139246.999980032
"11","b_t",2016,42763.1726429024,121950.896841029,1390.70640195135,164919.033387841
"12","b_t",2017,40175.0168678321,147870.863595401,1275.22743300268,130043.867698334
"13","b_t",2018,25700.5873902197,54117.0535503525,1853.7162524301,85085.14724841
"14","bmsy",2006,39185.1898641991,84845.4961139394,3049.22619556441,123715.050237804
"15","ck",2006,0.00138939312906299,0.00147109825023125,0.000105080213941371,0.00426337681762698
"16","ck",2007,0.028215368159433,0.0298746106200808,0.00213393665234784,0.0865793446041171
"17","ck",2008,0.117777786786724,0.124703867058064,0.00890756890487622,0.36140317330961
"18","ck",2009,0.0204668295550433,0.021670408839945,0.0015479123822902,0.0628028200442743
"19","ck",2010,0.0141076840797165,0.0149373053100404,0.00106696832617392,0.0432896723020585
"20","ck",2011,0.00806916778801966,0.00854368599172765,0.000610273550197962,0.0247603807485259
"21","ck",2012,0.110723944746866,0.117235214403044,0.00837408474178926,0.339758337158581
"22","ck",2013,0.00619883088351179,0.00656336142410866,0.000468819416046117,0.0190212196478742
"23","ck",2014,0.00935168452253935,0.00990162283809495,0.000707270670759228,0.0286958055032585
"24","ck",2015,0.0141611222769882,0.0149938860119724,0.00107100987286397,0.0434536483335057
"25","ck",2016,0.00977919010071257,0.0103542684535507,0.00073960304427965,0.030007613754836
"26","ck",2017,0.00304597724448424,0.00322510001012236,0.000230368161333006,0.00934663379248991
"27","ck",2018,0.0886005310764013,0.0938108038032082,0.00670088441210743,0.271872260139443
"28","crashed",2006,0,0,0,0
"29","delta",2006,100,0,100,100
"30","dep_t",2006,0.72035648761463,0.0726511261962935,0.607020438648131,0.841045422851709
"31","dep_t",2007,0.847527236367469,0.383284117457761,0.315967727733448,1.53851691658665
