"","variable","year","mean","sd","lower","upper"
"1","b_t",1951,4219.47243212287,1771.26243757126,2583.37266161735,6639.91961460557
"2","b_t",1952,3763.43891011681,1908.43005900429,2092.12007494904,6282.3470652123
"3","b_t",1953,3818.82763685663,2049.72318010128,1903.27413451973,6381.70949789776
"4","b_t",1954,4539.03311655533,2552.84430585146,2167.08272811917,7776.4021518824
"5","b_t",1955,4466.49004154524,2481.34884919499,2460.67857465283,7471.0155039185
"6","b_t",1956,3916.39032122196,2157.7881269741,2108.04342366775,6772.35495144245
"7","b_t",1957,3945.82599671711,2009.73003733446,2083.66544008447,6658.844630826
"8","b_t",1958,4348.37836804875,1968.67319130248,2392.80515950866,7307.78369280789
"9","b_t",1959,4759.7713199149,2497.76657602466,2451.17213392594,8298.95188224893
"10","b_t",1960,4545.96676315425,2928.21913097605,2350.81337846082,8228.62910850171
"11","b_t",1961,3777.99081109398,2078.1926281767,2070.94033323996,6546.75261714423
"12","b_t",1962,5604.72789816083,2907.28815658439,2887.68503426165,9869.46368621031
"13","b_t",1963,8049.10344650137,4165.2530942294,4360.31590366874,13406.7104470717
"14","b_t",1964,7563.68867600582,4409.11270222025,3874.47410663575,12743.7886847639
"15","b_t",1965,7315.87698330445,4009.69914372837,3713.17182756922,12290.8855990041
"16","b_t",1966,6154.30246524622,3360.87063710898,3217.15784358745,10683.5915202261
"17","b_t",1967,4806.80477085021,2776.5144186899,2422.36785062301,8466.64920426098
"18","b_t",1968,5715.20026446598,2625.60141722315,3106.15814208545,9689.61592187609
"19","b_t",1969,6598.74750422055,3276.73487423029,3511.87432797889,10969.4488757457
"20","b_t",1970,5013.10471104046,2848.55980903208,2358.03396231599,8796.48839392095
"21","b_t",1971,4829.57124295954,3001.20252526067,2467.40224375224,8281.69255543191
"22","b_t",1972,5239.25684698396,3093.87816801454,2575.51179244792,9219.23532313577
"23","b_t",1973,5199.55787089075,2837.92971209503,2651.99836539796,8584.38252746605
"24","b_t",1974,4686.4766063682,2315.91164079397,2519.7568690485,8118.08748836582
"25","b_t",1975,5949.86723031293,2944.60975265559,3388.95828041756,9963.91710848234
"26","b_t",1976,6075.9081872658,3194.31581363431,3215.65951266474,10792.2124039709
"27","b_t",1977,4189.01716111134,2640.19893206509,2237.28605961995,7327.25005946036
"28","b_t",1978,3412.32631303298,1952.54990171914,1806.25212890066,5925.23164777584
"29","b_t",1979,2839.7115270908,1558.18887689227,1485.1128910023,4823.35077530832
"30","b_t",1980,3326.70351520868,1682.12220867982,1879.45628624586,5711.07241472691
"31","b_t",1981,2680.07945032678,1381.21337437538,1319.22148807215,4530.08063142071
"32","b_t",1982,3025.31842707128,1487.65854129794,1618.26133698197,5062.6159526364
"33","b_t",1983,2870.95014666393,1500.85934999724,1562.35931051963,4840.1805173711
"34","b_t",1984,2894.69122016137,1418.57205092249,1693.56822175637,4753.55110140028
"35","b_t",1985,3088.10761130668,1531.60694236842,1654.92126301063,5232.08560782663
"36","b_t",1986,2770.03514212176,1470.03711715981,1493.75222025876,4593.14211098594
"37","b_t",1987,2230.50749480563,1166.06937736664,1164.63644372397,3906.95482974803
"38","b_t",1988,1936.58120936681,1064.67771027236,1079.91101961575,3227.67618144703
"39","b_t",1989,2640.60103613991,1236.47512311405,1527.2482690637,4385.93523800154
"40","b_t",1990,2667.35656362306,1338.4035821032,1508.89971169202,4605.32021542657
"41","b_t",1991,2698.84970612279,1320.79980395592,1550.05756356617,4519.99524194538
"42","b_t",1992,2623.9977345338,1368.8012770488,1458.13142594982,4249.71102492693
"43","b_t",1993,2493.96954403801,1234.87144207023,1379.07189887897,4232.84044731348
"44","b_t",1994,1996.96738428119,1083.44720019206,1138.38765797057,3431.63649812742
"45","b_t",1995,2595.59617698313,1244.62979041006,1464.57166274618,4277.67921431741
"46","b_t",1996,3088.730825185,1585.90621746487,1704.00416478804,5067.80165824967
"47","b_t",1997,4141.24103848919,2063.14313926006,2353.88762582145,6901.82937802194
"48","b_t",1998,3308.86467917428,1700.83991273727,1765.59580619474,5480.3077447449
