"","variable","year","mean","sd","lower","upper"
"1","b_t",2000,6524.20248279597,4691.62259064769,2189.1652395184,15152.9301969742
"2","b_t",2001,5743.42682944092,4350.26436227827,1752.98947051454,13849.014953036
"3","b_t",2002,6180.03527665185,4886.36060532379,1806.92124819345,14920.7294740782
"4","b_t",2003,6112.49804957948,5108.09422291087,1779.44083248299,14588.2853023897
"5","b_t",2004,7136.97095242307,5691.93097701763,2144.78312314978,17646.2359978046
"6","b_t",2005,9322.71062876228,7224.38566272156,2821.62244986552,21641.1747350273
"7","b_t",2006,14203.6538771794,10999.217324417,4272.81008838891,34091.501024897
"8","b_t",2007,12987.3906947882,10434.2846389219,3758.79215722904,31667.662887383
"9","b_t",2008,13382.9874388766,10690.2365168441,3995.781383247,32207.5460408575
"10","b_t",2009,14170.3748595581,11335.5514174789,4225.51268676903,34290.9063655757
"11","b_t",2010,12170.4622091368,9490.66460608297,3595.58022578952,29181.3470593208
"12","b_t",2011,11252.6515325623,8969.99136806826,3247.04509015623,28458.421418929
"13","b_t",2012,9339.76472739933,7228.57803890204,2687.93307112634,22880.2679894626
"14","b_t",2013,7740.15137639318,6181.17961041458,2217.00993642516,19482.8420578846
"15","b_t",2014,6745.20010430839,5346.16156561722,1976.04475516369,16922.4360561483
"16","b_t",2015,6020.30347593726,4667.87752821473,1712.8453423961,14468.5391473419
"17","b_t",2016,5493.95337327264,4575.32059247414,1411.53173108456,14203.0973467422
"18","b_t",2017,4829.40355108993,4058.22041005464,1238.32050042847,12701.710887664
"19","b_t",2018,4034.85065309121,3230.10045426088,1102.04359892963,9903.8747395722
"20","bmsy",2000,4741.57254878003,3361.64564204189,1615.76366081034,10953.7073510305
"21","ck",2000,0.0155417881241563,0.00883221469029645,0.00470160529080195,0.0318734926232005
"22","ck",2001,0.0196158490887409,0.0111474554343547,0.00593406493013839,0.0402286800098647
"23","ck",2002,0.024142583493835,0.0137199451499751,0.00730346452940109,0.0495122215506027
"24","ck",2003,0.0208229782634327,0.0118334526918535,0.00629923815660844,0.0427042910873948
"25","ck",2004,0.0242934746406714,0.0138056948071624,0.00734911118270985,0.049821672935294
"26","ck",2005,0.0341013991850419,0.0193794225243398,0.010316143647779,0.0699360129402263
"27","ck",2006,0.08630973599046,0.0490488039111609,0.0261098856926089,0.177006192043405
"28","ck",2007,0.0698626009852849,0.0397020912777404,0.0211344004819544,0.143275991112057
"29","ck",2008,0.0657885400207003,0.0373868505336821,0.019901940842618,0.134920803725392
"30","ck",2009,0.0786142875018001,0.0446755713946063,0.0237819063738623,0.16122417142415
"31","ck",2010,0.0665429957548826,0.0378155988196188,0.0201301741091618,0.136468060648849
"32","ck",2011,0.0596020030004051,0.0338711145890009,0.0180304280569589,0.12223329695305
"33","ck",2012,0.0428530857015571,0.0243529026412057,0.0129636495396869,0.0878841932523198
"34","ck",2013,0.0347049637723878,0.0197224211530892,0.0104987302610141,0.0711738184789913
"35","ck",2014,0.0303291205141302,0.0172356810946562,0.00917497731506012,0.0621997283229446
"36","ck",2015,0.0297255559267843,0.0168926824659068,0.0089923907018251,0.0609619227841796
"37","ck",2016,0.026405950696382,0.0150061900077852,0.00798816432903245,0.0541539923209717
"38","ck",2017,0.0274621887242373,0.0156064376080966,0.00830769090219374,0.0563201520138106
"39","ck",2018,0.0256514949621997,0.0145774417218485,0.00775993106248866,0.0526067353975154
"40","crashed",2000,0,0,0,0
"41","delta",2000,100,0,100,100
"42","dep_t",2000,0.687876780883751,0.0674049995857384,0.587759904194061,0.799317753106827
"43","dep_t",2001,0.601455210800973,0.123532900390051,0.428995030849278,0.820379606051347
"44","dep_t",2002,0.644838390236094,0.150558068660666,0.435655339195245,0.908597898797718
"45","dep_t",2003,0.63252630177949,0.151230589036614,0.427549230571946,0.893796457652141
"46","dep_t",2004,0.742419327186416,0.167622771978332,0.503536082866289,1.02456594933638
"47","dep_t",2005,0.975373188928478,0.218871275666833,0.666803604449043,1.35350255518567
"48","dep_t",2006,1.48218234813183,0.315702492925084,1.02561398840782,2.01966328118804
"49","dep_t",2007,1.34215803107972,0.287526569949233,0.930343246823478,1.83602982945469
"50","dep_t",2008,1.39067646201234,0.30011213887356,0.94753618718011,1.9075504146925
"51","dep_t",2009,1.47644650761093,0.328711521944131,0.992488484738945,2.02235819220694
"52","dep_t",2010,1.26813222898803,0.286541057967258,0.85982134435526,1.75858392121851
"53","dep_t",2011,1.16661725649691,0.27742347409508,0.785620502943137,1.65615473128324
"54","dep_t",2012,0.971463974757353,0.229461769330981,0.644403637558913,1.36472211285675
"55","dep_t",2013,0.799665106926624,0.185861487260698,0.542929699971657,1.11910081454248
"56","dep_t",2014,0.701449234310212,0.169589627850227,0.471813450482544,0.975907853348069
"57","dep_t",2015,0.62864800951697,0.149943250176106,0.415556946415964,0.878956372707414
"58","dep_t",2016,0.56890713581586,0.190652081691574,0.326797216661848,0.901666272968704
"59","dep_t",2017,0.49637529671942,0.163442097522278,0.285826077661638,0.78351212744589
"60","dep_t",2018,0.416052052134251,0.104720706093781,0.268033247811845,0.600129932816034
"61","growth_t",2000,0.0680520328000586,0.0159263677585323,0.0441654773820322,0.0945773052481834
"62","growth_t",2001,0.0727675489011598,0.0206258319430716,0.042828940662185,0.101123038340085
"63","growth_t",2002,0.0671246472558342,0.0271478030842621,0.0245368755109542,0.100430862415411
"64","growth_t",2003,0.0681701549417061,0.0262082423362152,0.026659363579253,0.100872151115201
"65","growth_t",2004,0.0534478572657138,0.0417091191377778,-0.00787097874662746,0.0951354520331011
"66","growth_t",2005,-0.00503007293688227,0.0773466734203491,-0.153642495395283,0.0778393812391878
"67","growth_t",2006,-0.255495148494175,0.215367496666859,-0.634082518087476,-0.0088685130221608
"68","growth_t",2007,-0.167913988531196,0.16742401285685,-0.481170849562516,0.0207847936338452
"69","growth_t",2008,-0.196729105932364,0.179060410609413,-0.527308388855325,0.0177450846760254
"70","growth_t",2009,-0.251777726397649,0.217915591155195,-0.640095975665801,0.0024573094060653
"71","growth_t",2010,-0.130047558252996,0.156310874351835,-0.407194066344765,0.0397071443864433
