"","variable","year","mean","sd","lower","upper"
"1","b_t",1951,62078.1547530979,38952.8558652142,31903.1918639866,119265.910846241
"2","b_t",1952,65575.2780082571,43366.1889182356,31302.7169284736,130456.135171213
"3","b_t",1953,57558.8464770607,39170.462346665,27118.1553802019,114256.003391809
"4","b_t",1954,52520.6986183987,35880.5910038324,24422.4147975217,108534.306014349
"5","b_t",1955,50262.9703441676,34056.0080154759,23310.4306346108,102360.286236408
"6","b_t",1956,52913.1411897043,36263.7929964942,24495.4255737222,108085.70667723
"7","b_t",1957,53266.6468200465,36814.6295268377,24769.2815681897,109094.232093169
"8","b_t",1958,52551.4537356615,36101.8765175631,24198.3491629086,106996.680019593
"9","b_t",1959,53509.3267305638,37146.2399851162,24665.4716967495,109872.960737009
"10","b_t",1960,56948.7135862866,39307.9793476946,26572.8128437611,114218.033883979
"11","b_t",1961,56255.8110346378,38334.8011725271,26261.6508306042,110903.482276798
"12","b_t",1962,85105.2861774964,57540.3270534402,39301.9363685385,168278.825885581
"13","b_t",1963,88774.8568431407,61194.6742971467,41068.8414692233,178767.036214371
"14","b_t",1964,112440.559601673,74982.4540710875,52537.5800570506,226658.968390054
"15","b_t",1965,114265.793440802,77349.4426525286,53468.7105520281,226574.814976707
"16","b_t",1966,105753.318752515,68829.2030025028,49352.2645095242,210860.208374205
"17","b_t",1967,98777.3341933379,67446.7144797567,46282.011043638,201231.121292001
"18","b_t",1968,101850.121119372,66917.8708191625,47735.0979681365,203704.765657715
"19","b_t",1969,108708.081198083,73157.2785393832,50773.4589129754,221878.662425451
"20","b_t",1970,121619.123105668,81899.2021754431,56800.6226728813,247923.652918896
"21","b_t",1971,129058.120172413,87447.564053072,60991.6716093303,260281.151790434
"22","b_t",1972,142308.66991712,97507.5714963289,66267.0484769607,291584.690494727
"23","b_t",1973,135646.662190553,90013.2031416744,62446.2553484842,271687.900621036
"24","b_t",1974,121438.152394717,80825.1626205129,56504.4644904646,244100.691575614
"25","b_t",1975,118530.542511571,78552.0604060102,55818.0278667403,235040.292955228
"26","b_t",1976,118623.995223397,80386.4462563884,55048.9522266347,236863.866252196
"27","b_t",1977,126056.404404498,86696.5487835492,58955.677415856,253406.569674341
"28","b_t",1978,112158.749103184,75951.8407791342,52078.1503511818,227403.532317581
"29","b_t",1979,107791.508691145,73871.0832157107,50403.3557015401,220743.368558591
"30","b_t",1980,101252.502682214,69042.3041358728,47401.0626031861,204191.590019168
"31","b_t",1981,93635.3553464715,63034.784451072,43794.2382124939,185579.390788507
"32","b_t",1982,89085.5842835147,60006.154292231,42293.5459037341,177646.162557792
"33","b_t",1983,86319.3636403124,56834.9785159618,40942.0300214101,172126.698463062
"34","b_t",1984,86784.2800209993,58261.6802755088,40693.5878893572,171875.22280945
"35","b_t",1985,76516.1019677312,52101.870156813,35455.2789642678,156216.72895014
"36","b_t",1986,67462.1019024089,45404.1479097075,30922.3234427546,139165.614296548
"37","b_t",1987,56463.2151364452,38550.5897468378,26461.3822985576,111678.071708261
"38","b_t",1988,47288.8108176673,32278.3070995509,22200.4958813853,97013.4409861603
"39","b_t",1989,49082.3722490809,31943.6607539197,23158.6040987504,99317.034703313
"40","b_t",1990,47772.0923588452,31714.874752943,22372.7995682148,94828.9674096325
"41","b_t",1991,51157.2263424641,34626.7981711149,24514.299814439,104130.052141732
"42","b_t",1992,56011.8797230104,39157.6347827867,26203.5373352765,113254.279591616
"43","b_t",1993,53618.2744150445,36733.9767912654,25406.9427480984,109804.095955933
"44","b_t",1994,57956.182323558,38368.6209436762,27397.6676905454,115518.125548616
"45","b_t",1995,60724.8720832559,40966.913210265,28627.4300189272,120814.095368973
"46","b_t",1996,62421.6808851634,40783.7893751474,29684.4372454645,125055.752263688
"47","b_t",1997,62335.5210534775,40903.7146330665,29744.2347913385,127295.94196305
"48","b_t",1998,59371.6477658776,39560.4630913251,27919.1201585776,121186.01984018
"49","b_t",1999,74861.2257186503,49117.338061658,35747.8327639459,147314.943027348
"50","b_t",2000,85372.0305936685,58232.0634619945,40006.0357318348,171574.320908624
"51","b_t",2001,87049.036749367,58373.5669961417,40582.7091779075,173947.141887598
"52","b_t",2002,88660.1580973339,59918.4881546494,41337.8336299871,180946.477623974
"53","b_t",2003,89125.3901502122,58095.0227753396,41925.9529122076,182286.734545195
"54","b_t",2004,96351.2672939988,63572.8123942557,45492.5147022666,197352.759544797
"55","b_t",2005,97411.5666976104,64519.8602254981,46375.1183716074,195354.518374582
