"","variable","year","mean","sd","lower","upper"
"1","b_t",2005,370.010204145688,188.890598047096,207.375174508307,715.789053174843
"2","b_t",2006,299.848404187763,206.945792277446,136.164019932083,672.686004885765
"3","b_t",2007,255.027705290049,171.891419480368,118.314515697777,550.672178926783
"4","b_t",2008,322.111178652882,221.8369059042,149.97048842989,724.870171479847
"5","b_t",2009,360.65104400352,248.072589371846,164.992992113406,800.545963878211
"6","b_t",2010,355.044876333372,235.049078666087,168.762082095606,764.791125319473
"7","b_t",2011,333.124123882464,235.125313500077,149.845146283233,764.542216680032
"8","b_t",2012,347.199502728387,267.33822381717,146.4412252375,805.524934880675
"9","b_t",2013,239.661249172702,168.272264689981,103.923380432958,534.218187016083
"10","b_t",2014,268.073259422772,172.679275708426,127.722469776424,590.534636458731
"11","b_t",2015,456.953500253177,323.687650577483,218.41827169867,998.450219862642
"12","b_t",2016,279.083604219975,213.409734771004,123.911651230787,658.662900564168
"13","b_t",2017,220.045428409492,202.534664970257,82.3122103037411,515.873857294654
"14","b_t",2018,185.199326122584,129.474728325147,75.4201268880853,415.560908067968
"15","bmsy",2005,241.982390612764,119.473797399762,143.792701951456,459.377285453264
"16","ck",2005,0.211803636976163,0.0663190814824829,0.0968705889703178,0.309473286185841
"17","ck",2006,0.135649520310576,0.0424740184775452,0.0620407142843609,0.198201992276325
"18","ck",2007,0.109471542706781,0.0342772780695979,0.0500679448610631,0.159952484994929
"19","ck",2008,0.161827497914372,0.0506707588854925,0.0740134837076585,0.236451499557721
"20","ck",2009,0.185625659372367,0.0581223410745355,0.0848978195470201,0.271223778904444
"21","ck",2010,0.211803636976163,0.0663190814824829,0.0968705889703178,0.309473286185841
"22","ck",2011,0.176106394789169,0.0551417081989183,0.0805440852112755,0.257314867165755
"23","ck",2012,0.209423820830363,0.0655739232635786,0.0957821553863817,0.305996058251168
"24","ck",2013,0.0975724619777829,0.0305514869750764,0.0446257769413824,0.142566345321567
"25","ck",2014,0.0999522781235825,0.0312966451939807,0.0457142105253185,0.146043573256239
"26","ck",2015,0.356972421869937,0.111773732835645,0.163265037590423,0.521584190200855
"27","ck",2016,0.278438489058551,0.0871835116118033,0.12734672932053,0.406835668356667
"28","ck",2017,0.16896694635177,0.0529062335422054,0.077278784459467,0.246883183361738
"29","ck",2018,0.159447681768572,0.0499256006665882,0.0729250501237224,0.232974271623048
"30","crashed",2005,0,0,0,0
"31","delta",2005,100,0,100,100
"32","dep_t",2005,0.762839628536527,0.0783074233237709,0.642888230874086,0.896432822132515
"33","dep_t",2006,0.597814502298706,0.158248440677473,0.39106338506252,0.885141449471103
"34","dep_t",2007,0.512702185393196,0.12700075451857,0.343522825650252,0.744310855262443
"35","dep_t",2008,0.645959704501681,0.166384731076402,0.422078056644019,0.933642795122642
"36","dep_t",2009,0.722816859133508,0.186093907960694,0.468059792558783,1.05178938136786
"37","dep_t",2010,0.716301203153239,0.179838585746698,0.470464333274538,1.0376512667352
"38","dep_t",2011,0.664071646442503,0.173757546406758,0.421345784613441,0.962382274632914
"39","dep_t",2012,0.684594742894598,0.211200781356855,0.412945854656949,1.06059685023772
"40","dep_t",2013,0.476839586034574,0.130850996958116,0.310007814940933,0.710293959789508
"41","dep_t",2014,0.541618959863111,0.133102658596231,0.363159835846462,0.771551976398538
"42","dep_t",2015,0.915814925221792,0.242400640955748,0.597444102325887,1.35373675309021
"43","dep_t",2016,0.553424792794496,0.177524404834844,0.352041793542511,0.862218095193336
"44","dep_t",2017,0.424264616439527,0.178762753764047,0.245597838303053,0.713360084273803
"45","dep_t",2018,0.367613549761962,0.0990408858573426,0.229991225026038,0.549393543138143
"46","growth_t",2005,0.1566350660274,0.0494324858006686,0.0754502081598875,0.234169642403156
"47","growth_t",2006,0.192968493288085,0.0756218687840575,0.0896709221742559,0.280803077112912
"48","growth_t",2007,0.209457137788103,0.0477194407050736,0.14203100194689,0.285227420563636
"49","growth_t",2008,0.179638576524706,0.0814773725148605,0.0522638010267678,0.275755135088417
"50","growth_t",2009,0.147654875995896,0.115942904645156,-0.0491745333535225,0.264461527229335
"51","growth_t",2010,0.152950456500817,0.11424368991422,-0.032784410149372,0.264065769076735
"52","growth_t",2011,0.172870231017964,0.0891482542771583,0.0316424274220048,0.271793917077903
"53","growth_t",2012,0.152536127473874,0.138580637810016,-0.0600623819347935,0.270614166534862
"54","growth_t",2013,0.208768811026258,0.0525827961185542,0.140729571329609,0.28404984773138
"55","growth_t",2014,0.207041322324787,0.0545104353867804,0.136623813284582,0.286111632435863
"56","growth_t",2015,0.0128867507362944,0.246636432720675,-0.457326633520826,0.218841670605963
"57","growth_t",2016,0.194084856753822,0.0992932415014464,0.0908906949531911,0.287156522494079
"58","growth_t",2017,0.190494485720113,0.101235406837151,0.131495682792404,0.271316771425499
"59","growth_t",2018,0.199836376991507,0.0439360020070935,0.133847431948169,0.273275284976047
"60","index_hat_t",2005,370.010204145688,188.890598047096,207.375174508307,715.789053174843
"61","index_hat_t",2006,299.848404187763,206.945792277446,136.164019932083,672.686004885765
"62","index_hat_t",2007,255.027705290049,171.891419480368,118.314515697777,550.672178926783
"63","index_hat_t",2008,322.111178652882,221.8369059042,149.97048842989,724.870171479847
"64","index_hat_t",2009,360.65104400352,248.072589371846,164.992992113406,800.545963878211
"65","index_hat_t",2010,355.044876333372,235.049078666087,168.762082095606,764.791125319473
"66","index_hat_t",2011,333.124123882464,235.125313500077,149.845146283233,764.542216680032
"67","index_hat_t",2012,347.199502728387,267.33822381717,146.4412252375,805.524934880675
"68","index_hat_t",2013,239.661249172702,168.272264689981,103.923380432958,534.218187016083
"69","index_hat_t",2014,268.073259422772,172.679275708426,127.722469776424,590.534636458731
"70","index_hat_t",2015,456.953500253177,323.687650577483,218.41827169867,998.450219862642
