"","variable","year","mean","sd","lower","upper"
"1","b_t",1951,607344.546907377,442739.123784095,200414.206211873,1376830.24423959
"2","b_t",1952,556166.958981554,410515.468761896,174615.372145996,1243198.94819963
"3","b_t",1953,444704.233684907,328333.547397215,139030.510305565,1003919.81054065
"4","b_t",1954,422764.401613516,316514.363644596,132326.078574739,955592.656314449
"5","b_t",1955,376864.154768849,282757.953843176,117232.24697767,841601.076067288
"6","b_t",1956,403625.508092746,303655.097207176,125604.222419263,900949.229380441
"7","b_t",1957,450602.166931326,336493.253300157,142476.645132663,1014637.4889345
"8","b_t",1958,560435.310490793,429099.958667217,174430.317014606,1301248.7294
"9","b_t",1959,558019.867626258,419997.031196267,173621.427428627,1289833.70941696
"10","b_t",1960,618183.762851491,459717.713312382,195085.533155461,1433769.03508297
"11","b_t",1961,585372.522543577,431603.100588019,180275.923132058,1309984.919334
"12","b_t",1962,754869.664663387,566740.479192835,232040.936261214,1707533.23629431
"13","b_t",1963,784114.101423022,581874.73586392,243561.114602986,1768527.87021584
"14","b_t",1964,705918.106997332,523346.262823255,217048.054854807,1595105.67369007
"15","b_t",1965,729852.416303712,548911.131902513,226727.571824932,1673163.52392139
"16","b_t",1966,694083.213203744,517624.597011987,216882.278986744,1571187.82270382
"17","b_t",1967,644908.138550368,480381.346470911,203900.571811889,1452115.74013452
"18","b_t",1968,652927.141496472,477629.826407917,204122.091360136,1448419.04813958
"19","b_t",1969,740060.99561507,548216.817610148,231590.203079221,1686188.13777749
"20","b_t",1970,811078.99419899,605631.771763769,252731.342216642,1870225.33462925
"21","b_t",1971,1010880.51257055,775933.517222148,308367.769272637,2322388.21571781
"22","b_t",1972,1199033.43366228,879619.51683417,368381.792250177,2790198.1017929
"23","b_t",1973,1210755.52546532,892656.207871355,362378.73630222,2735523.34250702
"24","b_t",1974,1065904.70113093,788995.443016663,330609.852950213,2385689.70139219
"25","b_t",1975,933076.571867641,706436.176975537,293043.657241694,2138861.75832777
"26","b_t",1976,920835.912558213,689842.92229597,292081.232871529,2102048.26167137
"27","b_t",1977,1033203.14947148,773439.040538319,320143.813701087,2388820.94793229
"28","b_t",1978,1068241.43962101,803427.422563376,329829.891482701,2384902.21281665
"29","b_t",1979,1055725.69332407,788345.497206566,327979.160252979,2385180.17570399
"30","b_t",1980,1094921.33618779,819830.535533306,338572.653494502,2539473.77164148
"31","b_t",1981,1060917.4155098,800988.276872785,331298.721031365,2436502.2770975
"32","b_t",1982,1017920.6312473,778184.107116178,323340.052680723,2399780.5191589
"33","b_t",1983,1046548.462161,781975.134065038,339343.339672855,2424072.49483892
"34","b_t",1984,1408719.20388321,1063411.33889062,449773.967190941,3168130.61625949
"35","b_t",1985,1579578.45877118,1208556.09745157,503298.27875265,3583196.51402074
"36","b_t",1986,1672626.18819215,1261457.25808926,537755.147688492,3866751.06596685
"37","b_t",1987,1652511.45936812,1258443.05080084,524241.297903902,3793991.20559199
"38","b_t",1988,1598240.2051869,1187188.49343407,500568.897700337,3629411.97551259
"39","b_t",1989,1550373.12215102,1147372.06822957,490295.617802909,3609356.10902949
"40","b_t",1990,1412502.19903282,1053212.88718634,441287.138297101,3223032.71811688
"41","b_t",1991,1298985.65325122,962668.359162759,410491.316602961,2942812.44145353
"42","b_t",1992,1232792.75897872,918279.839865315,390033.517155702,2865166.53774383
